// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B44856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
08055		50.548673	14.024111	-11.869767
08056		50.545690	14.022599	-11.867231
08057		50.542027	14.020870	-11.865009
08058		50.535973	14.019196	-11.866181
08059		50.532074	14.020324	-11.864360
08060		50.526475	14.019213	-11.863483
08061		50.521509	14.020868	-11.861488
08062		50.516901	14.019913	-11.863370
08063		50.513617	14.019896	-11.865482
08064		50.510184	14.019866	-11.865670
08065		50.506713	14.018631	-11.866650
08066		50.500429	14.015650	-11.868509
08067		50.496120	14.014666	-11.871751
08068		50.494126	14.013310	-11.871973
08069		50.492223	14.012051	-11.872631
08070		50.490721	14.009750	-11.873894
08071		50.489588	14.007338	-11.877965
08072		50.490524	14.005914	-11.882696
08073		50.493074	14.004841	-11.886308
08074		50.494456	14.001937	-11.888315
08075		50.492300	13.996291	-11.894281
08076		50.492737	13.993767	-11.897295
08077		50.492234	13.989753	-11.901469
08078		50.494832	13.986264	-11.904871
08079		50.495344	13.981950	-11.907930
08080		50.494916	13.977122	-11.908712
08081		50.493125	13.973621	-11.907997
08082		50.490407	13.971905	-11.907865
08083		50.485494	13.967563	-11.908734
08084		50.481595	13.962876	-11.909619
08085		50.480716	13.959673	-11.912162
08086		50.480654	13.956047	-11.913458
08087		50.479570	13.953051	-11.915197
08088		50.476401	13.950769	-11.917113
08089		50.475446	13.949758	-11.919024
08090		50.472642	13.948678	-11.921456
08091		50.472359	13.949958	-11.924424
08092		50.473034	13.950782	-11.927427
08093		50.476600	13.952564	-11.928612
08094		50.482643	13.954533	-11.930172
08095		50.490083	13.953920	-11.932506
08096		50.499413	13.952934	-11.937734
08097		50.508276	13.953724	-11.945012
08098		50.519779	13.955863	-11.951980
08099		50.528653	13.956438	-11.958892
08100		50.533884	13.958683	-11.962662
08101		50.539978	13.959840	-11.970261
08102		50.544393	13.960319	-11.975564
08103		50.546848	13.963379	-11.979153
08104		50.547029	13.967190	-11.981796
08105		50.547451	13.970547	-11.982248
08106		50.542942	13.975082	-11.983604
08107		50.539820	13.979403	-11.986959
08108		50.530665	13.983153	-11.990119
08109		50.523300	13.983905	-11.999382
08110		50.526371	13.984731	-12.011506
08111		50.532442	13.985075	-12.024783
08112		50.538346	13.984764	-12.033881
08113		50.544348	13.984454	-12.043264
