// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B447FD
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
20147		-9.789843	6.819892	-84.512505
20148		-9.878516	6.769515	-84.453706
20149		-9.984337	6.744200	-84.407626
20150		-10.096830	6.729962	-84.372361
20151		-10.201507	6.730807	-84.352947
20152		-10.291085	6.740002	-84.348946
20153		-10.350431	6.750745	-84.353218
20154		-10.393086	6.764017	-84.361750
20155		-10.429182	6.788914	-84.373274
20156		-10.472912	6.819925	-84.386352
20157		-10.539046	6.853292	-84.403981
20158		-10.631334	6.885921	-84.426266
20159		-10.748734	6.927722	-84.450221
20160		-10.884473	6.976177	-84.480128
20161		-11.026725	7.024094	-84.508520
20162		-11.162417	7.065423	-84.526684
20163		-11.285916	7.085890	-84.532556
20164		-11.399828	7.086782	-84.529044
20165		-11.495645	7.072541	-84.520774
20166		-11.559613	7.052394	-84.520779
20167		-11.606782	7.040450	-84.528843
20168		-11.634928	7.042662	-84.540563
20169		-11.647927	7.065487	-84.551997
20170		-11.659503	7.103180	-84.560322
20171		-11.671822	7.145377	-84.562983
20172		-11.690577	7.184461	-84.560428
20173		-11.712366	7.205706	-84.558757
20174		-11.727827	7.204937	-84.553068
20175		-11.734422	7.185979	-84.550849
20176		-11.735361	7.150477	-84.549067
20177		-11.725599	7.098923	-84.536707
20178		-11.690975	7.037023	-84.509920
20179		-11.645105	6.971117	-84.468075
20180		-11.599668	6.908299	-84.411748
20181		-11.560918	6.856679	-84.340787
20182		-11.539420	6.825244	-84.266320
20183		-11.532711	6.810082	-84.188022
20184		-11.534548	6.800815	-84.111756
20185		-11.532301	6.784392	-84.035276
20186		-11.504043	6.745640	-83.956247
20187		-11.447692	6.693052	-83.869379
20188		-11.359785	6.636374	-83.776225
20189		-11.243389	6.586386	-83.671551
20190		-11.123607	6.558837	-83.565691
20191		-11.007796	6.539135	-83.455301
20192		-10.895805	6.506852	-83.350970
20193		-10.788614	6.447750	-83.253187
20194		-10.690057	6.358758	-83.170107
20195		-10.618390	6.262906	-83.101915
20196		-10.596404	6.162950	-83.066630
20197		-10.626119	6.077996	-83.065579
20198		-10.723548	6.020414	-83.108476
20199		-10.859163	5.988533	-83.189893
20200		-10.998950	5.977275	-83.293516
20201		-11.097760	5.976564	-83.396432
20202		-11.134836	5.973512	-83.488488
20203		-11.093017	5.962423	-83.555461
20204		-10.984430	5.955028	-83.589133
20205		-10.831364	5.940859	-83.595578
20206		-10.648154	5.920109	-83.581941
20207		-10.437863	5.899176	-83.557506
20208		-10.214528	5.885901	-83.520487
20209		-10.011912	5.888662	-83.476388
20210		-9.836260	5.891458	-83.429645
20211		-9.690885	5.882853	-83.386659
20212		-9.576104	5.859280	-83.346098
20213		-9.490127	5.832314	-83.302238
20214		-9.433172	5.808229	-83.262660
20215		-9.398647	5.789110	-83.235021
20216		-9.359150	5.785135	-83.221847
20217		-9.283884	5.801792	-83.212965
20218		-9.159481	5.845646	-83.197573
20219		-8.986192	5.912905	-83.187170
20220		-8.753665	5.997274	-83.180919
20221		-8.459263	6.109129	-83.171439
20222		-8.124472	6.251575	-83.157865
20223		-7.800509	6.409244	-83.144159
20224		-7.515320	6.580679	-83.125270
20225		-7.299027	6.736210	-83.107901
20226		-7.161702	6.852775	-83.095860
20227		-7.091825	6.926470	-83.092894
20228		-7.064699	6.964192	-83.089343
20229		-7.029704	6.987028	-83.077578
20230		-6.965200	6.999130	-83.054103
20231		-6.872249	7.012721	-83.019345
20232		-6.755505	7.033003	-82.978124
20233		-6.607748	7.058025	-82.934151
20234		-6.443066	7.086949	-82.889038
20235		-6.284102	7.118797	-82.852134
20236		-6.132111	7.145945	-82.823654
20237		-5.990508	7.170678	-82.803379
20238		-5.887706	7.195771	-82.792392
20239		-5.813068	7.213141	-82.788386
20240		-5.755889	7.216590	-82.787662
20241		-5.711420	7.205972	-82.787511
20242		-5.679271	7.190491	-82.791238
20243		-5.655109	7.178687	-82.794553
20244		-5.642826	7.179139	-82.803618
20245		-5.624198	7.177844	-82.814842
20246		-5.588951	7.168388	-82.830676
20247		-5.539887	7.148917	-82.843428
20248		-5.492451	7.133002	-82.860608
20249		-5.447071	7.111049	-82.879889
20250		-5.409024	7.086864	-82.906601
20251		-5.381646	7.053664	-82.941603
20252		-5.353067	7.012661	-82.980441
20253		-5.322880	6.964715	-83.027670
20254		-5.285430	6.918883	-83.085482
20255		-5.237342	6.886344	-83.155424
20256		-5.183821	6.865509	-83.232194
20257		-5.134908	6.854324	-83.318907
20258		-5.092656	6.849864	-83.412390
20259		-5.050576	6.848002	-83.512158
20260		-5.009557	6.846890	-83.613599
20261		-4.966371	6.846828	-83.714286
20262		-4.945255	6.851364	-83.811011
20263		-4.932464	6.868957	-83.902093
20264		-4.925029	6.880807	-83.995175
20265		-4.925126	6.881330	-84.095297
20266		-4.940074	6.864297	-84.204720
20267		-4.981769	6.834255	-84.325500
20268		-5.062614	6.794613	-84.457931
20269		-5.180271	6.740101	-84.593220
20270		-5.327814	6.674405	-84.733622
20271		-5.472503	6.601221	-84.874327
20272		-5.612991	6.526275	-85.021522
20273		-5.740734	6.456960	-85.174325
20274		-5.855705	6.392608	-85.336217
20275		-5.971323	6.332293	-85.513931
20276		-6.108949	6.276772	-85.707139
20277		-6.277112	6.218181	-85.922567
20278		-6.471134	6.145384	-86.150693
20279		-6.665184	6.058431	-86.393293
20280		-6.868902	5.963781	-86.640728
20281		-7.076504	5.866214	-86.899751
20282		-7.286596	5.762090	-87.168943
20283		-7.479981	5.662151	-87.452945
20284		-7.643084	5.568104	-87.747652
20285		-7.775977	5.482845	-88.061445
20286		-7.885093	5.397758	-88.392830
20287		-7.958708	5.312362	-88.745797
20288		-8.009883	5.219602	-89.110986
20289		-8.036846	5.120255	-89.494458
20290		-8.056990	5.020002	-89.895587
20291		-8.082791	4.925036	-90.319081
20292		-8.137028	4.824977	-90.761400
20293		-8.210299	4.720669	-91.226124
20294		-8.295053	4.623556	-91.696994
20295		-8.362011	4.528023	-92.172289
20296		-8.412987	4.426958	-92.655611
20297		-8.444797	4.336042	-93.157485
20298		-8.454265	4.245532	-93.669852
20299		-8.458961	4.151240	-94.206361
20300		-8.474448	4.053008	-94.754503
20301		-8.510977	3.958586	-95.320493
20302		-8.560386	3.870558	-95.893158
20303		-8.606814	3.785088	-96.481424
20304		-8.665347	3.691688	-97.081586
