// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B447F7
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
07922		-10.438004	-10.673649	172.954014
07923		-10.427398	-10.681483	172.951263
07924		-10.409637	-10.687696	172.946101
07925		-10.389093	-10.690470	172.941595
07926		-10.369068	-10.694912	172.938735
07927		-10.349272	-10.695678	172.934212
07928		-10.329085	-10.699325	172.930980
07929		-10.314649	-10.704599	172.928254
07930		-10.306165	-10.713213	172.926600
07931		-10.289512	-10.715040	172.923370
07932		-10.270845	-10.713506	172.920545
07933		-10.263387	-10.714109	172.918093
07934		-10.266506	-10.716274	172.917539
07935		-10.260439	-10.709745	172.915569
07936		-10.245372	-10.705171	172.910042
07937		-10.231593	-10.704800	172.904565
07938		-10.222669	-10.709352	172.898992
07939		-10.210194	-10.713636	172.893659
07940		-10.189986	-10.717914	172.886739
07941		-10.171738	-10.720101	172.880801
07942		-10.166474	-10.718636	172.877087
07943		-10.167373	-10.716387	172.872690
07944		-10.165748	-10.710074	172.870399
07945		-10.158671	-10.709414	172.866322
07946		-10.150965	-10.714332	172.861839
07947		-10.144953	-10.721030	172.856213
07948		-10.140621	-10.724967	172.851023
07949		-10.128890	-10.727238	172.845677
07950		-10.124968	-10.728748	172.839298
07951		-10.128578	-10.731166	172.836943
07952		-10.134829	-10.735060	172.833987
07953		-10.131147	-10.740033	172.827372
07954		-10.111982	-10.751645	172.818902
07955		-10.083842	-10.768564	172.805725
07956		-10.058139	-10.794463	172.792541
07957		-10.038187	-10.829132	172.781257
07958		-10.015827	-10.854562	172.770593
07959		-9.989090	-10.877429	172.761124
07960		-9.965606	-10.897816	172.751113
07961		-9.943995	-10.912995	172.742601
07962		-9.927817	-10.930313	172.733605
07963		-9.920328	-10.951896	172.725155
07964		-9.921779	-10.983217	172.713607
07965		-9.903923	-11.021948	172.699050
07966		-9.846513	-11.059520	172.676542
07967		-9.771230	-11.102257	172.646819
07968		-9.693510	-11.148826	172.620919
07969		-9.606285	-11.192678	172.597445
07970		-9.538940	-11.247017	172.591381
07971		-9.499796	-11.287587	172.598929
07972		-9.481450	-11.324575	172.607234
07973		-9.453723	-11.384905	172.611318
07974		-9.415161	-11.428068	172.586917
07975		-9.397762	-11.481253	172.573913
07976		-9.337359	-11.537320	172.552991
07977		-9.268674	-11.597594	172.533653
07978		-9.203706	-11.652199	172.503253
07979		-9.180823	-11.670843	172.479245
07980		-9.176332	-11.721709	172.418147
07981		-9.162039	-11.777294	172.353011
07982		-9.153104	-11.856791	172.295616
07983		-9.088713	-11.928434	172.220217
07984		-9.024268	-12.003496	172.138269
07985		-8.955560	-12.075828	172.054359
07986		-8.888101	-12.143720	171.964145
07987		-8.823238	-12.229649	171.862249
07988		-8.752895	-12.348011	171.754622
07989		-8.646894	-12.475312	171.631368
07990		-8.516844	-12.598050	171.513182
07991		-8.361502	-12.659826	171.450126
07992		-8.162734	-12.681662	171.414095
07993		-8.170835	-12.828764	171.360973
07994		-8.234535	-13.046225	171.260947
07995		-8.241672	-13.243192	171.143011
07996		-8.031335	-13.471855	171.094516
07997		-7.746159	-13.673354	171.065928
07998		-7.627557	-13.832682	171.034358
07999		-7.624813	-14.001283	171.000734
08000		-7.594524	-14.130924	170.959740
08001		-7.474494	-14.205864	170.910482
08002		-7.343421	-14.261251	170.859756
08003		-7.243871	-14.323650	170.811579
08004		-7.120317	-14.372089	170.757196
08005		-6.983828	-14.387458	170.709617
08006		-6.859922	-14.400683	170.666382
08007		-6.751085	-14.374795	170.638958
08008		-6.644434	-14.289359	170.620928
08009		-6.613410	-14.150331	170.625244
08010		-6.684655	-13.969953	170.650518
08011		-6.809589	-13.805025	170.665573
08012		-6.953764	-13.682780	170.650380
08013		-7.053628	-13.621090	170.593897
08014		-7.058538	-13.613854	170.507349
08015		-6.990187	-13.622777	170.406483
08016		-6.897191	-13.619099	170.315370
08017		-6.832975	-13.620039	170.223737
08018		-6.828451	-13.602115	170.141067
08019		-6.846994	-13.565338	170.060679
08020		-6.886729	-13.507712	169.985619
08021		-6.954384	-13.447205	169.917515
08022		-7.049688	-13.404918	169.839709
08023		-7.115272	-13.382043	169.749505
08024		-7.116733	-13.363817	169.643477
08025		-7.120750	-13.329117	169.522125
08026		-7.166600	-13.281478	169.391279
08027		-7.199383	-13.224872	169.271261
08028		-7.201855	-13.145904	169.167152
08029		-7.222108	-13.058969	169.079254
08030		-7.275576	-12.988344	169.017039
08031		-7.321528	-12.929037	168.966317
08032		-7.340606	-12.885814	168.913599
08033		-7.359830	-12.852882	168.864486
08034		-7.364912	-12.838402	168.822505
