// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B44856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
45227		-16.738952	48.838339	-29.787395
45228		-16.740103	48.835367	-29.788569
45229		-16.735106	48.825301	-29.783773
45230		-16.725256	48.818401	-29.778060
45231		-16.708104	48.809650	-29.766573
45232		-16.687475	48.801062	-29.755045
45233		-16.656268	48.790103	-29.735316
45234		-16.614593	48.780674	-29.713003
45235		-16.558630	48.769615	-29.679301
45236		-16.495804	48.757356	-29.641738
45237		-16.425263	48.742139	-29.600075
45238		-16.349000	48.730651	-29.557150
45239		-16.272560	48.715384	-29.512331
45240		-16.197824	48.701761	-29.468346
45241		-16.120049	48.692458	-29.421501
45242		-16.045987	48.687780	-29.378415
45243		-15.974800	48.688380	-29.336434
45244		-15.910503	48.690339	-29.300536
45245		-15.856028	48.693890	-29.270504
45246		-15.812224	48.702841	-29.247778
45247		-15.774144	48.709746	-29.228248
45248		-15.747342	48.717213	-29.213715
45249		-15.728890	48.725500	-29.201070
45250		-15.718932	48.734867	-29.189664
45251		-15.717793	48.743466	-29.181725
45252		-15.727746	48.754574	-29.179793
45253		-15.745911	48.766606	-29.179274
45254		-15.774232	48.777952	-29.181369
45255		-15.808448	48.783947	-29.182864
45256		-15.849422	48.787468	-29.184195
45257		-15.892918	48.786325	-29.185432
45258		-15.934162	48.787344	-29.184236
45259		-15.980837	48.786169	-29.191906
45260		-16.032214	48.792916	-29.206785
45261		-16.076103	48.796857	-29.217611
45262		-16.124781	48.807478	-29.235529
45263		-16.169051	48.815648	-29.254948
45264		-16.211127	48.822963	-29.276135
45265		-16.248142	48.827713	-29.294700
45266		-16.286201	48.835041	-29.319429
45267		-16.314651	48.843686	-29.338254
45268		-16.343752	48.850953	-29.362800
45269		-16.368517	48.858431	-29.385701
45270		-16.395165	48.868355	-29.410803
45271		-16.423635	48.878915	-29.439788
45272		-16.447679	48.891908	-29.467310
45273		-16.471908	48.905056	-29.496450
45274		-16.492082	48.919488	-29.524579
45275		-16.509295	48.930200	-29.551155
45276		-16.524798	48.935521	-29.576284
45277		-16.535338	48.934921	-29.600986
45278		-16.541806	48.933085	-29.618772
45279		-16.543947	48.928490	-29.635994
45280		-16.541125	48.919846	-29.651099
45281		-16.533324	48.908564	-29.666919
45282		-16.524977	48.896838	-29.686806
45283		-16.519309	48.880931	-29.708744
45284		-16.514398	48.852675	-29.732726
45285		-16.509122	48.819258	-29.760716
45286		-16.501688	48.781640	-29.786607
45287		-16.486984	48.743470	-29.809776
45288		-16.466040	48.705829	-29.832043
45289		-16.437250	48.664073	-29.853047
45290		-16.407974	48.623140	-29.881212
45291		-16.376478	48.582530	-29.914697
45292		-16.346440	48.541653	-29.952952
45293		-16.319299	48.491514	-29.993694
45294		-16.290749	48.433585	-30.030308
45295		-16.264401	48.376630	-30.059036
45296		-16.242443	48.328936	-30.085104
45297		-16.227293	48.290248	-30.108580
45298		-16.218698	48.259922	-30.135669
45299		-16.209475	48.237506	-30.156815
45300		-16.202653	48.221517	-30.177798
45301		-16.206413	48.195900	-30.205885
45302		-16.221893	48.155066	-30.231899
45303		-16.241696	48.098310	-30.252504
45304		-16.247646	48.030173	-30.264005
45305		-16.216554	47.955886	-30.279312
45306		-16.157355	47.878325	-30.323556
45307		-16.083922	47.783833	-30.395411
45308		-16.009981	47.685226	-30.491861
45309		-15.911288	47.586738	-30.584366
45310		-15.768518	47.494677	-30.665383
45311		-15.562831	47.402730	-30.715570
45312		-15.321676	47.301181	-30.749097
45313		-15.081035	47.181644	-30.776365
45314		-14.829775	47.060115	-30.804079
45315		-14.578103	46.926326	-30.834255
45316		-14.347066	46.749456	-30.863612
45317		-14.141475	46.540749	-30.898802
45318		-13.964669	46.330659	-30.966580
45319		-13.821499	46.125046	-31.057268
45320		-13.711065	45.920654	-31.146868
45321		-13.613450	45.719328	-31.222018
45322		-13.529957	45.523005	-31.294090
45323		-13.481245	45.333851	-31.360668
45324		-13.464852	45.146833	-31.414583
45325		-13.462653	44.951285	-31.444048
45326		-13.504103	44.775627	-31.479831
45327		-13.589524	44.615546	-31.525224
45328		-13.672930	44.466637	-31.530269
45329		-13.696712	44.308917	-31.478798
45330		-13.669719	44.150348	-31.387851
45331		-13.667267	43.985490	-31.300973
45332		-13.685533	43.816424	-31.213231
45333		-13.724485	43.641309	-31.130080
45334		-13.742392	43.465349	-31.037573
45335		-13.745971	43.306023	-30.950029
45336		-13.732557	43.163424	-30.857114
45337		-13.694393	43.028501	-30.758355
45338		-13.632411	42.882060	-30.647252
45339		-13.547181	42.724436	-30.524847
45340		-13.443670	42.559031	-30.399037
45341		-13.339117	42.393448	-30.264881
45342		-13.245702	42.221511	-30.138710
45343		-13.162268	42.043314	-30.005376
45344		-13.080831	41.858202	-29.866467
45345		-13.002034	41.661406	-29.719823
45346		-12.934572	41.447372	-29.578770
45347		-12.877976	41.213910	-29.435204
45348		-12.864468	40.998620	-29.279015
45349		-12.870219	40.781238	-29.109512
45350		-12.879229	40.556006	-28.921490
45351		-12.890284	40.329370	-28.713310
45352		-12.899885	40.107392	-28.479609
45353		-12.901137	39.883315	-28.221455
45354		-12.916843	39.653675	-27.950894
45355		-12.957802	39.414996	-27.677230
45356		-13.027253	39.177298	-27.399141
45357		-13.121675	38.948396	-27.128332
45358		-13.228469	38.723787	-26.865304
45359		-13.343436	38.505399	-26.606029
45360		-13.458527	38.292935	-26.343789
45361		-13.563339	38.088700	-26.075109
45362		-13.658946	37.892790	-25.801861
45363		-13.753932	37.709102	-25.526391
45364		-13.847867	37.527740	-25.255289
45365		-13.923681	37.356918	-24.984625
45366		-14.003726	37.196969	-24.725713
45367		-14.080760	37.047077	-24.472919
45368		-14.139993	36.902613	-24.220149
45369		-14.178198	36.743483	-23.963114
45370		-14.194653	36.566178	-23.691852
45371		-14.180792	36.373092	-23.410437
45372		-14.146529	36.176132	-23.119800
45373		-14.096200	35.973162	-22.820351
45374		-14.047767	35.773399	-22.516486
45375		-14.020113	35.582590	-22.218444
45376		-14.004624	35.395226	-21.918635
45377		-13.998502	35.216497	-21.620254
45378		-13.995749	35.047998	-21.320289
45379		-13.999349	34.889051	-21.023508
45380		-13.999003	34.745410	-20.728123
45381		-13.987404	34.602404	-20.426262
45382		-13.970282	34.453835	-20.125276
45383		-13.936479	34.301791	-19.825616
45384		-13.884383	34.146818	-19.529405
45385		-13.820841	33.979820	-19.237087
45386		-13.749795	33.807763	-18.950090
45387		-13.670675	33.627606	-18.660037
45388		-13.587628	33.453236	-18.377825
45389		-13.506923	33.277578	-18.098845
45390		-13.430294	33.098624	-17.822860
45391		-13.361026	32.906697	-17.540841
45392		-13.291354	32.713700	-17.257045
45393		-13.210387	32.530104	-16.969625
45394		-13.126805	32.358825	-16.679321
45395		-13.036678	32.200217	-16.382763
45396		-12.938765	32.045943	-16.061367
45397		-12.851004	31.892297	-15.711137
45398		-12.788162	31.749844	-15.337466
45399		-12.736248	31.612363	-14.957139
45400		-12.683768	31.477970	-14.600426
45401		-12.628672	31.343273	-14.269003
45402		-12.593184	31.205673	-13.965099
45403		-12.575911	31.072264	-13.677093
45404		-12.567949	30.948271	-13.397590
45405		-12.554727	30.831082	-13.111815
45406		-12.533504	30.723578	-12.824882
45407		-12.490548	30.612957	-12.534369
45408		-12.429240	30.497547	-12.253869
45409		-12.350593	30.359964	-11.980634
45410		-12.273728	30.209188	-11.721468
45411		-12.208836	30.055806	-11.468119
45412		-12.146795	29.905430	-11.223136
45413		-12.089331	29.756902	-10.983561
45414		-12.032936	29.613574	-10.756779
45415		-11.976725	29.457935	-10.526370
45416		-11.905588	29.286865	-10.296971
45417		-11.829858	29.108690	-10.063324
45418		-11.747813	28.930592	-9.835018
45419		-11.665149	28.755777	-9.612701
45420		-11.571430	28.582102	-9.393255
45421		-11.482176	28.407087	-9.168152
45422		-11.402203	28.232147	-8.941824
45423		-11.325732	28.059572	-8.711744
45424		-11.242060	27.898850	-8.485079
45425		-11.152272	27.743819	-8.260195
45426		-11.059369	27.595364	-8.041873
45427		-10.963560	27.452892	-7.830082
45428		-10.850492	27.307863	-7.622627
45429		-10.745757	27.147710	-7.416750
45430		-10.666044	26.989357	-7.219238
45431		-10.597717	26.828211	-7.021301
45432		-10.535967	26.681382	-6.828434
45433		-10.467124	26.550547	-6.638687
45434		-10.378584	26.433356	-6.459951
45435		-10.286208	26.310137	-6.289975
45436		-10.190253	26.176754	-6.125769
45437		-10.095946	26.023985	-5.963091
45438		-10.008338	25.863050	-5.794296
45439		-9.931596	25.720831	-5.619811
45440		-9.860249	25.599581	-5.452116
45441		-9.779911	25.492821	-5.283064
45442		-9.682284	25.398286	-5.124853
45443		-9.564530	25.305861	-4.972233
45444		-9.428149	25.214178	-4.827954
45445		-9.294927	25.115501	-4.698692
45446		-9.167675	25.013115	-4.600239
45447		-9.061039	24.900644	-4.500056
45448		-8.922831	24.807776	-4.372392
45449		-8.735307	24.754550	-4.199443
45450		-8.546487	24.712887	-4.010310
45451		-8.387119	24.643741	-3.833862
45452		-8.252591	24.571108	-3.700899
45453		-8.129647	24.515771	-3.607540
45454		-7.996165	24.500504	-3.552501
45455		-7.847344	24.523051	-3.517070
45456		-7.685794	24.558351	-3.495179
45457		-7.508066	24.579585	-3.470365
45458		-7.324046	24.599062	-3.446639
45459		-7.185891	24.631230	-3.425801
45460		-7.099789	24.674542	-3.409362
45461		-7.078758	24.715604	-3.404669
45462		-7.116752	24.739967	-3.415365
45463		-7.207072	24.759206	-3.432603
45464		-7.345561	24.779015	-3.453035
45465		-7.510413	24.800236	-3.461333
45466		-7.687068	24.812197	-3.465486
45467		-7.874303	24.807497	-3.473381
45468		-8.051637	24.793013	-3.484260
45469		-8.199641	24.763311	-3.486942
45470		-8.310531	24.726165	-3.483129
45471		-8.395965	24.677637	-3.459190
45472		-8.461928	24.630931	-3.428824
45473		-8.502226	24.579166	-3.392158
45474		-8.532065	24.517104	-3.357520
45475		-8.556880	24.455047	-3.326066
45476		-8.555289	24.399903	-3.304288
45477		-8.539477	24.345191	-3.290411
45478		-8.504094	24.292618	-3.285870
45479		-8.434916	24.247392	-3.277526
45480		-8.330657	24.209518	-3.269570
45481		-8.197170	24.160183	-3.255919
45482		-8.040788	24.103720	-3.243276
45483		-7.872242	24.043885	-3.224589
45484		-7.712043	23.984560	-3.207622
45485		-7.564743	23.923443	-3.183985
45486		-7.431225	23.867369	-3.146255
45487		-7.330477	23.809549	-3.089489
45488		-7.248672	23.754668	-3.027843
45489		-7.182243	23.700189	-2.960681
45490		-7.138575	23.654758	-2.896774
45491		-7.118847	23.611542	-2.836044
45492		-7.130535	23.571833	-2.778307
45493		-7.175102	23.539383	-2.725948
45494		-7.228134	23.511937	-2.682235
45495		-7.298668	23.479976	-2.639939
45496		-7.373455	23.445776	-2.605428
45497		-7.440244	23.410793	-2.571211
45498		-7.491064	23.380689	-2.536739
45499		-7.514406	23.349916	-2.494928
45500		-7.523035	23.326277	-2.451164
45501		-7.520733	23.303702	-2.398852
45502		-7.521167	23.284808	-2.350386
45503		-7.513551	23.259232	-2.296256
45504		-7.500384	23.229171	-2.245676
45505		-7.481119	23.195439	-2.194571
45506		-7.464001	23.168126	-2.153696
45507		-7.464398	23.149237	-2.111190
45508		-7.453172	23.117707	-2.065607
45509		-7.418669	23.074132	-2.006613
45510		-7.371421	23.032584	-1.944525
45511		-7.319140	22.989274	-1.879511
45512		-7.249388	22.945646	-1.815948
45513		-7.161471	22.902421	-1.747241
45514		-7.072831	22.858397	-1.687046
45515		-6.994586	22.822727	-1.629234
45516		-6.929934	22.797343	-1.574108
45517		-6.877017	22.766304	-1.510927
45518		-6.842697	22.733470	-1.446595
45519		-6.837533	22.704281	-1.386981
45520		-6.861919	22.692317	-1.343219
45521		-6.912286	22.710587	-1.305320
45522		-6.994854	22.759338	-1.286431
45523		-7.094288	22.815158	-1.276346
45524		-7.191364	22.871861	-1.272351
45525		-7.282030	22.934910	-1.267259
45526		-7.360504	22.985959	-1.259719
45527		-7.433719	23.014457	-1.232046
45528		-7.504191	23.047941	-1.201652
45529		-7.572843	23.092052	-1.166714
45530		-7.610460	23.158446	-1.140502
