// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B447F1
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
15440		43.408179	65.495098	3.762294
15441		43.408122	65.494571	3.745458
15442		43.413443	65.493469	3.732763
15443		43.420513	65.494087	3.727330
15444		43.427336	65.495250	3.723959
15445		43.437918	65.498126	3.727313
15446		43.438886	65.497746	3.724270
15447		43.431078	65.499770	3.716116
15448		43.428309	65.505196	3.716001
15449		43.434117	65.516882	3.730659
15450		43.443386	65.528125	3.746542
15451		43.447880	65.536833	3.753233
15452		43.433766	65.539327	3.739896
15453		43.408486	65.534806	3.714851
15454		43.380958	65.525911	3.690454
15455		43.360418	65.517928	3.676869
15456		43.342450	65.507148	3.669274
15457		43.323843	65.492817	3.656628
15458		43.295194	65.473538	3.635314
15459		43.260342	65.450727	3.601184
15460		43.225905	65.431212	3.566999
15461		43.194398	65.421396	3.536246
15462		43.168338	65.419334	3.512773
15463		43.148681	65.422453	3.495117
15464		43.133080	65.423954	3.478238
15465		43.111965	65.421124	3.450236
15466		43.087103	65.410565	3.418134
15467		43.057300	65.384653	3.379012
15468		43.035542	65.343561	3.346911
15469		43.027749	65.288988	3.327820
15470		43.030428	65.221597	3.319706
15471		43.025202	65.148610	3.305587
15472		43.009555	65.089550	3.293482
15473		42.975719	65.045306	3.272851
15474		42.913021	65.013444	3.236380
15475		42.831579	64.981182	3.173660
15476		42.695445	64.930845	3.061473
15477		42.499279	64.821725	2.868064
15478		42.263006	64.636226	2.589669
15479		42.045142	64.409991	2.290421
15480		41.884807	64.203392	2.035684
