// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B44730
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
15440		12.406516	14.884819	-49.727659
15441		12.412691	14.884747	-49.727915
15442		12.413834	14.886467	-49.728481
15443		12.412268	14.887975	-49.733122
15444		12.411837	14.890472	-49.734784
15445		12.409494	14.890109	-49.733979
15446		12.406224	14.889995	-49.734014
15447		12.403128	14.889524	-49.735252
15448		12.400523	14.890942	-49.737152
15449		12.401547	14.895413	-49.738100
15450		12.397845	14.900113	-49.739933
15451		12.391845	14.903931	-49.737668
15452		12.380952	14.902593	-49.733922
15453		12.373019	14.896284	-49.732275
15454		12.370909	14.891297	-49.728947
15455		12.371417	14.884151	-49.727160
15456		12.377176	14.876549	-49.722783
15457		12.379860	14.864856	-49.723369
15458		12.383755	14.853918	-49.722067
15459		12.392739	14.845795	-49.721007
15460		12.400863	14.838933	-49.721640
15461		12.408120	14.834080	-49.722809
15462		12.414901	14.833069	-49.723767
15463		12.414709	14.833504	-49.723926
15464		12.403403	14.829343	-49.722349
15465		12.380343	14.816614	-49.723351
15466		12.343435	14.803304	-49.727900
15467		12.303882	14.788771	-49.739287
15468		12.276515	14.774919	-49.753756
15469		12.263810	14.762033	-49.769542
15470		12.258048	14.746544	-49.785994
15471		12.255580	14.730995	-49.804399
15472		12.250754	14.715103	-49.824528
15473		12.233842	14.705252	-49.839974
15474		12.209735	14.690144	-49.855422
15475		12.185083	14.673564	-49.869054
15476		12.170075	14.650643	-49.881090
15477		12.164430	14.626883	-49.896387
15478		12.168679	14.609548	-49.908301
15479		12.178966	14.594401	-49.920770
15480		12.190755	14.576717	-49.928835
15481		12.198657	14.558218	-49.931883
15482		12.204066	14.535389	-49.938220
15483		12.208774	14.520817	-49.944513
15484		12.205952	14.504448	-49.952469
15485		12.189408	14.488461	-49.957456
15486		12.148430	14.478372	-49.960485
15487		12.086828	14.483420	-49.956425
15488		12.015249	14.500932	-49.949393
15489		11.939659	14.521210	-49.938822
15490		11.872257	14.535893	-49.932030
15491		11.818151	14.551450	-49.935003
15492		11.779193	14.569223	-49.945753
15493		11.759184	14.590223	-49.961879
15494		11.756243	14.612945	-49.973536
15495		11.754757	14.627287	-49.980489
15496		11.761759	14.638015	-49.979143
15497		11.766832	14.644732	-49.974635
15498		11.769269	14.645732	-49.965596
15499		11.764586	14.647170	-49.950234
15500		11.749456	14.646336	-49.932942
15501		11.735533	14.642635	-49.914813
15502		11.722353	14.637192	-49.895809
15503		11.711791	14.631470	-49.881417
15504		11.713755	14.628723	-49.869072
15505		11.723052	14.623901	-49.860419
15506		11.742696	14.621056	-49.853917
15507		11.767115	14.619211	-49.850914
15508		11.790974	14.620417	-49.846386
15509		11.810603	14.625640	-49.842552
15510		11.825389	14.632802	-49.834722
15511		11.830682	14.643812	-49.823732
15512		11.822123	14.655409	-49.813070
15513		11.809984	14.667686	-49.805280
15514		11.798645	14.684019	-49.793615
15515		11.790239	14.697391	-49.786173
15516		11.788082	14.714128	-49.777241
15517		11.789288	14.730070	-49.772563
15518		11.793736	14.743297	-49.768757
15519		11.793975	14.756771	-49.766911
15520		11.795708	14.774402	-49.763108
15521		11.797147	14.786835	-49.756761
15522		11.803894	14.790946	-49.748438
15523		11.810247	14.791297	-49.736957
15524		11.816140	14.786595	-49.721871
15525		11.811643	14.780175	-49.703655
15526		11.791318	14.770676	-49.685678
15527		11.762867	14.753286	-49.667787
15528		11.732086	14.726979	-49.650680
15529		11.692489	14.692473	-49.636285
15530		11.653533	14.652611	-49.629661
15531		11.624640	14.619521	-49.623548
15532		11.610962	14.600781	-49.617639
15533		11.602432	14.591287	-49.607095
15534		11.594977	14.576451	-49.594244
15535		11.584465	14.554398	-49.579317
15536		11.560484	14.522428	-49.565762
15537		11.534826	14.485657	-49.556007
15538		11.513819	14.447363	-49.544206
15539		11.494204	14.412268	-49.536172
15540		11.475289	14.374778	-49.520865
