// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B447F1
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
24680		0.597269	15.821813	13.087181
24681		0.603511	15.830625	13.086044
24682		0.612410	15.836460	13.087286
24683		0.622956	15.842697	13.087852
24684		0.626571	15.849808	13.089124
24685		0.619717	15.854169	13.086630
24686		0.603715	15.856860	13.082810
24687		0.587352	15.860619	13.074825
24688		0.572043	15.868317	13.064612
24689		0.575135	15.870543	13.055353
24690		0.590684	15.872554	13.053891
24691		0.614699	15.874838	13.057733
24692		0.630764	15.877223	13.061723
24693		0.640741	15.875545	13.062788
24694		0.644435	15.873837	13.062206
24695		0.646105	15.876915	13.056865
24696		0.647092	15.881252	13.051135
24697		0.651962	15.885918	13.047287
24698		0.644267	15.895461	13.040494
24699		0.628189	15.902761	13.031588
24700		0.615512	15.906436	13.024075
24701		0.611360	15.907618	13.014827
24702		0.617557	15.910767	13.008183
24703		0.633728	15.918395	13.000765
24704		0.646045	15.923185	12.991044
24705		0.656992	15.924355	12.980207
24706		0.664256	15.922398	12.969654
24707		0.666876	15.926220	12.963574
24708		0.662333	15.938884	12.959499
24709		0.655196	15.955155	12.954261
24710		0.645823	15.965650	12.948136
24711		0.644406	15.969686	12.936676
24712		0.641478	15.972722	12.918549
24713		0.639458	15.982922	12.906105
24714		0.628870	15.999641	12.891591
24715		0.607741	16.017468	12.880146
24716		0.580148	16.031540	12.868277
24717		0.556477	16.039689	12.856663
24718		0.535542	16.045100	12.845979
24719		0.524480	16.049563	12.836723
24720		0.511701	16.054269	12.827517
24721		0.501340	16.062187	12.816265
24722		0.499361	16.067011	12.807367
24723		0.510243	16.067206	12.796788
24724		0.529210	16.066263	12.785945
24725		0.551611	16.063650	12.777008
24726		0.569359	16.064127	12.771401
24727		0.570270	16.073078	12.762508
24728		0.560929	16.087347	12.754140
24729		0.542423	16.099372	12.746259
24730		0.517161	16.105865	12.736624
24731		0.487856	16.111889	12.723309
24732		0.448833	16.119697	12.709406
24733		0.409055	16.120389	12.692980
24734		0.365024	16.114607	12.673966
24735		0.329332	16.110331	12.649137
24736		0.306872	16.114460	12.622961
24737		0.301184	16.125128	12.599660
24738		0.302508	16.131856	12.576556
24739		0.307049	16.134333	12.555387
24740		0.307167	16.127013	12.529632
24741		0.306999	16.114055	12.496249
24742		0.304658	16.103729	12.455540
24743		0.306585	16.104440	12.406806
24744		0.312414	16.104970	12.359116
24745		0.323477	16.098161	12.307784
24746		0.323118	16.089397	12.248166
24747		0.317952	16.084979	12.184756
24748		0.302319	16.086876	12.117195
24749		0.284351	16.092028	12.043998
24750		0.264399	16.093973	11.968549
24751		0.248260	16.093950	11.890532
24752		0.230251	16.090770	11.810487
24753		0.214151	16.080289	11.729564
24754		0.200344	16.063745	11.645360
24755		0.193262	16.042014	11.552843
24756		0.191578	16.027085	11.452570
24757		0.190937	16.017227	11.343099
24758		0.180255	16.009559	11.227769
24759		0.161064	15.998868	11.101846
24760		0.135508	15.984995	10.964502
24761		0.118900	15.975247	10.826675
24762		0.110647	15.969589	10.687326
24763		0.099733	15.955120	10.537907
24764		0.079526	15.927788	10.377256
24765		0.052884	15.899629	10.198624
24766		0.031144	15.878747	10.006629
24767		0.029904	15.869485	9.803141
24768		0.049751	15.866079	9.596960
24769		0.086218	15.856286	9.386487
24770		0.119373	15.841589	9.174554
24771		0.145816	15.820764	8.956094
24772		0.154258	15.798701	8.730848
24773		0.151415	15.775155	8.497388
24774		0.142204	15.753762	8.253972
24775		0.123683	15.729578	7.994937
24776		0.100514	15.702970	7.726406
24777		0.081980	15.677325	7.446309
24778		0.060614	15.660978	7.154543
24779		0.029059	15.651132	6.854092
24780		-0.013308	15.636579	6.547280
24781		-0.056945	15.609253	6.233920
24782		-0.082917	15.571639	5.912880
24783		-0.078890	15.539131	5.585934
24784		-0.035692	15.518265	5.265914
24785		0.027324	15.499467	4.946318
24786		0.096259	15.474380	4.624259
24787		0.170447	15.430738	4.299353
24788		0.243882	15.379446	3.974420
24789		0.318116	15.338173	3.648360
24790		0.379092	15.310231	3.323438
24791		0.414460	15.289390	2.992912
24792		0.419151	15.260777	2.656124
24793		0.407499	15.220259	2.304494
24794		0.384328	15.183217	1.951371
24795		0.356299	15.156120	1.603068
24796		0.298238	15.126933	1.258832
24797		0.212507	15.090027	0.902606
24798		0.134581	15.051064	0.530261
24799		0.091428	15.030593	0.137492
24800		0.096582	15.027615	-0.257594
24801		0.156489	15.027642	-0.635187
24802		0.238722	15.016748	-0.980036
24803		0.314349	14.982875	-1.306163
24804		0.351788	14.935061	-1.627175
24805		0.352446	14.892962	-1.958781
24806		0.317922	14.855597	-2.312238
24807		0.273941	14.820753	-2.691421
24808		0.249528	14.783812	-3.082934
24809		0.243382	14.754033	-3.477671
24810		0.245849	14.720078	-3.868067
24811		0.246786	14.669416	-4.255954
24812		0.231531	14.608171	-4.643194
24813		0.219897	14.536362	-5.043611
24814		0.216118	14.472713	-5.461180
24815		0.234478	14.430390	-5.903182
24816		0.280194	14.407952	-6.367561
24817		0.346890	14.394032	-6.853075
24818		0.424478	14.376203	-7.345219
24819		0.494663	14.351960	-7.839146
24820		0.536541	14.318514	-8.331110
24821		0.546619	14.282023	-8.838072
24822		0.528818	14.236832	-9.365076
24823		0.496732	14.188293	-9.921483
24824		0.456272	14.130958	-10.502538
24825		0.424164	14.070148	-11.099922
24826		0.389184	14.009374	-11.711285
24827		0.344418	13.952022	-12.343221
24828		0.291939	13.901265	-12.998035
24829		0.247342	13.856127	-13.671820
24830		0.222763	13.817841	-14.346366
24831		0.207464	13.780140	-15.027009
24832		0.204556	13.726231	-15.713471
24833		0.215848	13.655354	-16.410207
24834		0.266337	13.578594	-17.111202
24835		0.344528	13.505401	-17.827861
24836		0.444158	13.434520	-18.546654
24837		0.551135	13.365198	-19.267632
24838		0.663181	13.284597	-19.988858
24839		0.761091	13.195231	-20.720357
24840		0.840791	13.113775	-21.450451
24841		0.917901	13.036795	-22.183121
24842		0.984437	12.955676	-22.905696
24843		1.039812	12.872437	-23.633433
24844		1.092836	12.784203	-24.352766
24845		1.133750	12.698227	-25.082197
24846		1.168783	12.611548	-25.813531
24847		1.203692	12.524355	-26.555278
24848		1.253446	12.434621	-27.295092
24849		1.327440	12.351329	-28.036913
24850		1.428248	12.271628	-28.770850
24851		1.545535	12.192922	-29.504476
24852		1.688442	12.098679	-30.223609
24853		1.848311	11.993845	-30.930009
24854		2.014619	11.879551	-31.625469
24855		2.168772	11.768212	-32.324229
24856		2.316798	11.661793	-33.023997
24857		2.456167	11.562404	-33.745080
24858		2.587913	11.469538	-34.486681
24859		2.698995	11.391524	-35.255282
24860		2.794992	11.324914	-36.030332
24861		2.867050	11.266809	-36.803815
24862		2.921327	11.190764	-37.558076
24863		2.974340	11.096489	-38.303207
24864		3.025911	10.991901	-39.033499
24865		3.110103	10.889521	-39.754046
24866		3.225089	10.795845	-40.465430
24867		3.360029	10.708213	-41.181091
24868		3.515655	10.618019	-41.904848
24869		3.678828	10.528473	-42.643811
24870		3.826780	10.443482	-43.382555
24871		3.943621	10.362049	-44.122878
24872		4.023926	10.284756	-44.859497
24873		4.074234	10.230784	-45.592040
24874		4.110657	10.189162	-46.319777
24875		4.148594	10.146440	-47.040202
24876		4.185629	10.101695	-47.755134
24877		4.210484	10.051527	-48.476039
24878		4.231283	9.994775	-49.201986
24879		4.263727	9.934793	-49.940859
24880		4.305189	9.868883	-50.683399
24881		4.369518	9.800872	-51.432918
24882		4.469733	9.738877	-52.171977
24883		4.591853	9.684479	-52.896730
24884		4.756619	9.640467	-53.596688
24885		4.973729	9.596563	-54.287423
24886		5.209390	9.546083	-54.975724
24887		5.468086	9.493352	-55.673272
24888		5.755443	9.425577	-56.374862
24889		6.050390	9.362378	-57.089949
24890		6.339085	9.327231	-57.807758
24891		6.613396	9.317889	-58.523100
24892		6.882308	9.308308	-59.217984
24893		7.108988	9.302250	-59.911020
24894		7.297410	9.302963	-60.592904
24895		7.458073	9.318648	-61.275664
24896		7.598145	9.338202	-61.960381
24897		7.742708	9.353425	-62.656279
24898		7.921386	9.358927	-63.352265
24899		8.094461	9.367356	-64.049247
24900		8.251294	9.382335	-64.727529
24901		8.382358	9.406639	-65.392191
24902		8.453165	9.451368	-66.035146
24903		8.492989	9.504171	-66.660490
24904		8.537458	9.540168	-67.268683
24905		8.586858	9.555301	-67.885763
24906		8.620578	9.556607	-68.515426
24907		8.640293	9.565617	-69.168237
24908		8.651159	9.580233	-69.822699
24909		8.645365	9.618002	-70.470699
24910		8.622007	9.686993	-71.093522
24911		8.547651	9.793527	-71.691376
24912		8.447171	9.909633	-72.269375
24913		8.350593	10.006629	-72.836751
24914		8.251068	10.075396	-73.401341
24915		8.144685	10.129895	-73.973154
24916		8.043716	10.183429	-74.531838
24917		7.927689	10.256889	-75.074026
24918		7.797630	10.348539	-75.593684
24919		7.685021	10.449338	-76.095437
24920		7.592949	10.545712	-76.573229
24921		7.535240	10.633886	-77.040338
24922		7.506784	10.715927	-77.474269
24923		7.489437	10.800679	-77.891704
24924		7.491296	10.887341	-78.283109
24925		7.495329	10.976945	-78.668517
24926		7.517173	11.047250	-79.047961
24927		7.559007	11.099770	-79.430718
24928		7.594063	11.162197	-79.799316
24929		7.595641	11.262411	-80.152530
24930		7.581152	11.377670	-80.483092
24931		7.563418	11.488675	-80.795260
24932		7.545570	11.577836	-81.093300
24933		7.534643	11.652571	-81.390995
24934		7.516355	11.724448	-81.686659
24935		7.497650	11.796836	-81.995640
24936		7.479397	11.866387	-82.317921
24937		7.440847	11.941092	-82.649513
24938		7.421331	12.020402	-82.966548
24939		7.407423	12.103254	-83.264937
24940		7.360660	12.195280	-83.540150
24941		7.317345	12.285204	-83.807217
24942		7.319180	12.349122	-84.070940
24943		7.362981	12.378827	-84.355664
24944		7.422767	12.385344	-84.664818
