// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B44730
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
12625		23.637751	27.458209	-25.567273
12626		23.634948	27.455434	-25.566096
12627		23.629993	27.453594	-25.564978
12628		23.628044	27.455138	-25.562001
12629		23.628922	27.458839	-25.558191
12630		23.629517	27.461144	-25.554041
12631		23.631113	27.462724	-25.551790
12632		23.634094	27.463428	-25.549640
12633		23.635719	27.469241	-25.545116
12634		23.636172	27.476502	-25.543498
12635		23.637195	27.478166	-25.538938
12636		23.634634	27.478068	-25.534907
12637		23.631459	27.476381	-25.530865
12638		23.625530	27.470921	-25.528333
12639		23.618211	27.464548	-25.528602
12640		23.615909	27.463858	-25.529356
12641		23.616694	27.463791	-25.530851
12642		23.617997	27.465619	-25.534005
12643		23.622660	27.464275	-25.539515
12644		23.631606	27.466141	-25.543257
12645		23.638542	27.470902	-25.545104
12646		23.644247	27.473818	-25.545363
12647		23.646900	27.476798	-25.545448
12648		23.645090	27.477742	-25.546031
12649		23.642422	27.476439	-25.547331
12650		23.635077	27.475487	-25.553087
12651		23.631890	27.472931	-25.555874
12652		23.627242	27.472293	-25.555347
12653		23.620113	27.471479	-25.557151
12654		23.616589	27.473556	-25.556424
12655		23.615415	27.476475	-25.556292
12656		23.613354	27.481287	-25.556761
12657		23.614654	27.482471	-25.556770
12658		23.615442	27.482564	-25.558649
12659		23.620685	27.482005	-25.559640
12660		23.622052	27.483273	-25.559885
12661		23.622373	27.485950	-25.559080
12662		23.619311	27.487391	-25.558418
12663		23.615488	27.486251	-25.555109
12664		23.609728	27.487318	-25.548917
12665		23.606162	27.491268	-25.544105
12666		23.604962	27.497880	-25.542095
12667		23.608881	27.499755	-25.540734
12668		23.611674	27.498079	-25.540171
12669		23.618070	27.493755	-25.539711
12670		23.619894	27.487542	-25.541691
12671		23.619352	27.480980	-25.542362
12672		23.613986	27.481290	-25.547475
12673		23.611974	27.487265	-25.551842
12674		23.612643	27.491933	-25.557288
12675		23.610514	27.495246	-25.561652
12676		23.607098	27.499171	-25.567673
12677		23.599065	27.498283	-25.570958
12678		23.591040	27.499540	-25.574842
12679		23.580527	27.500385	-25.577989
12680		23.574598	27.499151	-25.583453
12681		23.570914	27.495108	-25.586222
12682		23.573086	27.490538	-25.588599
12683		23.571306	27.480377	-25.589961
12684		23.571156	27.471779	-25.587785
12685		23.572048	27.466306	-25.583989
12686		23.571499	27.460193	-25.579597
12687		23.574750	27.459250	-25.574413
12688		23.582247	27.463475	-25.566159
12689		23.589562	27.463451	-25.561955
12690		23.593644	27.461906	-25.555934
12691		23.597758	27.465734	-25.550034
12692		23.602363	27.465730	-25.543806
12693		23.603455	27.461351	-25.542298
12694		23.606631	27.458494	-25.541714
12695		23.608704	27.457085	-25.540254
12696		23.606729	27.452461	-25.539111
12697		23.605597	27.437052	-25.539016
12698		23.603040	27.426362	-25.539148
12699		23.599314	27.418953	-25.537382
12700		23.597002	27.413728	-25.537275
12701		23.598325	27.410209	-25.536535
12702		23.601404	27.409113	-25.533419
12703		23.606263	27.410583	-25.527565
12704		23.612030	27.413819	-25.517965
12705		23.618462	27.418798	-25.506135
12706		23.623798	27.421550	-25.497799
12707		23.625271	27.425537	-25.486458
12708		23.625552	27.426026	-25.476111
12709		23.624259	27.426899	-25.467657
12710		23.624771	27.426605	-25.460859
12711		23.625787	27.423552	-25.455568
12712		23.627725	27.421452	-25.453319
12713		23.635288	27.417578	-25.449142
12714		23.640409	27.416712	-25.452274
12715		23.643769	27.417808	-25.455417
12716		23.648119	27.417344	-25.458332
12717		23.650492	27.415471	-25.461432
12718		23.649788	27.413371	-25.464926
12719		23.650315	27.412682	-25.467165
12720		23.649932	27.409509	-25.472508
12721		23.649685	27.406948	-25.476980
12722		23.648262	27.405695	-25.482898
