// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B447F1
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
12625		42.999164	43.074888	5.776221
12626		42.996279	43.077970	5.775873
12627		42.997975	43.077301	5.775602
12628		42.997214	43.075924	5.776080
12629		42.992565	43.075003	5.775703
12630		42.988592	43.072196	5.775153
12631		42.985474	43.069794	5.773343
12632		42.987084	43.066562	5.773141
12633		42.994545	43.059822	5.772281
12634		43.000132	43.054111	5.768104
12635		43.006278	43.051176	5.767704
12636		43.006629	43.051822	5.768106
12637		43.005992	43.054786	5.770267
12638		43.000189	43.059687	5.774418
12639		42.992331	43.067377	5.778036
12640		42.986470	43.068999	5.779782
12641		42.983136	43.071597	5.782709
12642		42.975057	43.072903	5.778825
12643		42.978507	43.069603	5.779195
12644		42.988953	43.065290	5.775441
12645		43.002684	43.059702	5.771847
12646		43.013457	43.057789	5.767555
12647		43.020621	43.058497	5.762143
12648		43.026265	43.059875	5.760424
12649		43.029054	43.056552	5.757617
12650		43.027783	43.058537	5.759314
12651		43.023790	43.063039	5.762471
12652		43.017090	43.067671	5.767329
12653		43.012369	43.071500	5.770919
12654		43.009890	43.072860	5.770733
12655		43.008227	43.069880	5.764648
12656		43.011408	43.063324	5.759694
12657		43.008651	43.061073	5.752739
12658		43.004649	43.061870	5.748702
12659		43.006200	43.061451	5.749198
12660		43.009590	43.065428	5.753119
12661		43.013915	43.069870	5.756051
12662		43.019933	43.069727	5.755976
12663		43.018635	43.070743	5.751557
12664		43.015197	43.067215	5.749248
12665		43.012734	43.068311	5.747566
12666		43.010674	43.067965	5.747557
12667		43.010254	43.065929	5.744981
12668		43.014702	43.065339	5.742760
12669		43.026178	43.065953	5.741401
12670		43.038149	43.065006	5.740287
12671		43.048531	43.062875	5.741099
12672		43.056669	43.062155	5.740006
12673		43.057489	43.064537	5.737893
12674		43.058264	43.066618	5.740945
12675		43.057699	43.066757	5.742539
12676		43.055598	43.069218	5.743330
12677		43.055690	43.072852	5.745056
12678		43.052160	43.079192	5.745437
12679		43.047874	43.087665	5.747084
12680		43.039728	43.096520	5.748236
12681		43.035956	43.105264	5.753825
12682		43.031096	43.111814	5.755622
12683		43.022430	43.116257	5.759866
12684		43.015603	43.118191	5.764966
12685		43.009201	43.118353	5.770388
12686		43.006520	43.118334	5.777308
12687		43.009024	43.113964	5.782489
12688		43.010000	43.112783	5.782314
12689		43.011479	43.106319	5.786057
12690		43.009311	43.099889	5.789212
12691		43.006263	43.093119	5.793278
12692		43.001366	43.088246	5.800424
12693		42.995985	43.085104	5.806921
12694		42.991267	43.085441	5.813665
12695		42.991876	43.085869	5.822376
12696		42.994499	43.084108	5.827591
12697		42.994294	43.079002	5.823681
12698		42.998557	43.075175	5.825092
12699		43.000983	43.071702	5.827431
12700		43.001073	43.068502	5.834988
12701		43.002041	43.064053	5.848041
12702		43.002282	43.058395	5.865336
12703		42.993976	43.051008	5.880007
12704		42.978629	43.046203	5.892107
12705		42.956316	43.038276	5.900216
12706		42.928713	43.034990	5.908568
12707		42.898981	43.036401	5.913027
12708		42.872167	43.044378	5.922392
12709		42.847558	43.054321	5.930617
12710		42.825397	43.062092	5.937179
12711		42.806765	43.068287	5.943847
12712		42.788506	43.067725	5.951484
12713		42.776077	43.067470	5.965123
12714		42.763926	43.066751	5.977103
12715		42.750401	43.065302	5.986470
12716		42.736610	43.065130	5.993194
12717		42.723962	43.067579	5.998313
12718		42.713948	43.068796	6.000441
12719		42.708511	43.070011	6.001065
12720		42.711631	43.067191	6.002879
12721		42.710852	43.063081	6.002055
12722		42.715476	43.052847	6.005691
12723		42.713168	43.046733	6.009344
12724		42.707789	43.033466	6.011109
12725		42.701976	43.021818	6.012770
12726		42.698042	43.012657	6.014742
12727		42.698216	43.009982	6.018958
12728		42.700519	43.008716	6.025525
12729		42.701507	43.013120	6.035900
12730		42.698950	43.016876	6.048029
12731		42.685139	43.017476	6.052488
12732		42.662767	43.015468	6.056559
12733		42.634748	43.011615	6.061885
12734		42.605989	43.007380	6.069101
12735		42.585993	43.003975	6.075743
12736		42.577896	42.998951	6.089020
12737		42.579101	42.996802	6.101119
12738		42.585676	42.995556	6.111228
12739		42.594021	42.996917	6.122787
12740		42.599301	42.999355	6.133702
12741		42.599136	43.003818	6.146815
12742		42.592989	43.004705	6.157749
12743		42.574470	43.006470	6.170320
12744		42.546612	43.005241	6.184103
12745		42.516638	42.992784	6.192474
12746		42.487358	42.978464	6.200771
12747		42.458575	42.969748	6.213220
12748		42.435885	42.970733	6.233086
12749		42.412249	42.979773	6.256424
12750		42.384434	42.991500	6.275663
12751		42.357741	43.001210	6.288611
12752		42.338187	43.005332	6.293796
12753		42.321408	43.000268	6.290383
12754		42.312212	42.994478	6.287439
12755		42.312764	42.986904	6.296039
12756		42.314021	42.980691	6.315240
12757		42.312434	42.977143	6.345192
12758		42.304753	42.979554	6.382908
12759		42.289092	42.981377	6.417281
12760		42.270416	42.983235	6.445619
12761		42.249227	42.984198	6.472453
12762		42.222860	42.984838	6.496343
12763		42.196992	42.979984	6.514088
12764		42.168489	42.977338	6.532181
12765		42.129297	42.978514	6.553917
12766		42.080793	42.982508	6.580366
12767		42.029039	42.992263	6.609052
12768		41.970879	43.002581	6.634723
12769		41.907088	43.017689	6.654017
12770		41.841852	43.032314	6.671782
12771		41.779074	43.045642	6.685690
12772		41.719612	43.064706	6.702023
12773		41.664433	43.084593	6.719837
12774		41.615832	43.103617	6.739948
12775		41.571444	43.119951	6.764210
12776		41.532679	43.128709	6.785392
12777		41.496155	43.128394	6.803763
12778		41.463103	43.125583	6.816437
12779		41.438316	43.118164	6.832520
12780		41.415475	43.116881	6.845842
12781		41.402715	43.112659	6.858717
12782		41.395235	43.106682	6.870269
12783		41.389786	43.102975	6.881265
12784		41.383577	43.098599	6.892512
12785		41.371213	43.103734	6.907331
12786		41.353224	43.108531	6.925335
12787		41.328434	43.120045	6.942899
12788		41.298339	43.130771	6.962193
12789		41.265979	43.142223	6.983173
12790		41.231116	43.155462	7.003972
12791		41.196079	43.169974	7.022633
12792		41.179198	43.174796	7.037232
12793		41.164343	43.162575	7.040504
12794		41.156014	43.137666	7.038073
12795		41.166985	43.108732	7.040618
12796		41.174672	43.083897	7.043626
12797		41.175827	43.064541	7.048662
12798		41.181932	43.037044	7.047051
12799		41.181715	43.003803	7.034715
12800		41.183850	42.978910	7.028090
12801		41.185096	42.964403	7.022790
12802		41.179508	42.964078	7.022175
12803		41.168452	42.971191	7.023387
12804		41.157883	42.977505	7.022953
12805		41.146434	42.984130	7.019451
12806		41.133137	42.993053	7.019892
12807		41.124291	43.005997	7.026542
12808		41.125658	43.018730	7.032712
12809		41.132965	43.017709	7.033030
12810		41.147310	43.002498	7.029955
12811		41.161279	42.974540	7.013070
12812		41.168270	42.942380	6.986452
12813		41.173413	42.920416	6.963328
12814		41.188122	42.913189	6.955233
12815		41.213164	42.913197	6.958534
12816		41.244012	42.905050	6.957123
12817		41.270039	42.878676	6.943458
12818		41.285489	42.842659	6.917181
12819		41.281552	42.818282	6.892147
12820		41.269655	42.814897	6.882004
12821		41.259299	42.826212	6.879691
12822		41.255154	42.840623	6.878125
12823		41.258316	42.844819	6.873928
12824		41.269923	42.836144	6.865183
12825		41.284500	42.815664	6.855928
12826		41.304791	42.794666	6.846299
12827		41.324793	42.777556	6.835242
12828		41.344179	42.766193	6.831255
12829		41.364647	42.763237	6.835102
12830		41.382219	42.765139	6.845858
12831		41.399514	42.765325	6.853316
12832		41.410587	42.756689	6.850202
12833		41.414816	42.740172	6.839204
12834		41.414267	42.727411	6.828871
12835		41.402747	42.724197	6.821946
12836		41.384646	42.730819	6.824540
12837		41.363895	42.745759	6.833976
12838		41.343250	42.761446	6.848195
12839		41.324031	42.767927	6.862365
12840		41.306989	42.768911	6.870124
12841		41.292162	42.767477	6.874033
12842		41.282745	42.766008	6.878992
12843		41.264290	42.766248	6.875583
12844		41.247864	42.767931	6.873917
12845		41.233836	42.769751	6.877149
12846		41.220846	42.770575	6.879530
12847		41.213174	42.768004	6.878929
12848		41.210454	42.761374	6.879476
12849		41.210882	42.759094	6.879380
12850		41.215467	42.755267	6.882659
12851		41.217047	42.747547	6.879529
12852		41.217976	42.737114	6.872117
12853		41.212169	42.724090	6.857909
12854		41.204503	42.712996	6.846414
12855		41.194446	42.705733	6.838321
12856		41.188537	42.704921	6.833211
12857		41.184472	42.711168	6.830677
12858		41.182752	42.715464	6.827838
12859		41.182880	42.722563	6.826476
12860		41.183562	42.730450	6.823545
12861		41.184920	42.736584	6.822293
12862		41.185564	42.740098	6.818317
12863		41.184317	42.739208	6.810568
12864		41.184081	42.737699	6.805252
12865		41.186027	42.732067	6.800364
12866		41.182375	42.732214	6.795125
12867		41.180698	42.732052	6.789670
12868		41.180991	42.733219	6.785963
12869		41.183365	42.736055	6.785821
12870		41.183932	42.736718	6.780530
12871		41.184062	42.734617	6.772128
12872		41.181498	42.723875	6.763219
12873		41.175484	42.721199	6.753980
12874		41.173877	42.720957	6.746997
12875		41.169805	42.725298	6.741081
12876		41.167153	42.732817	6.737837
12877		41.165752	42.741364	6.737885
12878		41.163272	42.753073	6.734689
12879		41.162882	42.763716	6.736136
12880		41.159293	42.776460	6.735548
12881		41.161300	42.780698	6.734084
12882		41.156689	42.774302	6.724915
12883		41.150236	42.772354	6.717962
12884		41.145144	42.770575	6.717327
12885		41.136672	42.770134	6.717694
12886		41.129205	42.772078	6.720985
12887		41.126516	42.775517	6.724248
12888		41.124302	42.784006	6.720419
12889		41.129062	42.785829	6.717652
12890		41.136534	42.787188	6.708339
12891		41.147157	42.786270	6.701201
12892		41.157853	42.785264	6.694793
12893		41.171742	42.782184	6.690284
12894		41.179877	42.779654	6.686012
12895		41.182117	42.775436	6.682976
12896		41.183909	42.778339	6.679983
12897		41.186571	42.780684	6.678314
12898		41.189997	42.786389	6.675648
12899		41.196858	42.787685	6.671786
12900		41.202925	42.782579	6.657919
12901		41.206686	42.774689	6.640264
12902		41.207168	42.768286	6.623968
12903		41.205704	42.768543	6.614135
12904		41.202429	42.775262	6.610016
12905		41.206083	42.785096	6.610028
12906		41.210590	42.792693	6.607482
12907		41.223114	42.788909	6.600258
12908		41.235595	42.778505	6.585072
12909		41.248729	42.764539	6.567768
12910		41.258627	42.754267	6.550177
12911		41.266747	42.748875	6.536318
12912		41.273039	42.746387	6.522887
12913		41.276225	42.744850	6.508579
12914		41.280167	42.741443	6.494662
12915		41.286997	42.734435	6.480934
12916		41.293856	42.720581	6.464706
12917		41.304505	42.702460	6.450516
12918		41.315627	42.684926	6.441586
12919		41.324727	42.672072	6.435542
12920		41.333266	42.665496	6.431221
12921		41.340108	42.656900	6.423948
12922		41.341121	42.646863	6.404701
12923		41.351431	42.635186	6.379665
12924		41.362887	42.618688	6.347343
12925		41.377588	42.602203	6.322448
12926		41.388811	42.584358	6.303721
12927		41.393941	42.566559	6.289024
12928		41.394503	42.543575	6.276885
12929		41.398654	42.523663	6.260804
12930		41.416186	42.509814	6.255927
12931		41.432276	42.505253	6.253147
12932		41.452617	42.507898	6.258636
12933		41.470310	42.520754	6.264086
12934		41.481251	42.535020	6.260428
12935		41.495248	42.543009	6.243074
12936		41.510480	42.540017	6.214071
12937		41.529213	42.528972	6.185204
12938		41.541215	42.514018	6.164039
12939		41.545774	42.500667	6.149308
12940		41.547126	42.489483	6.141052
12941		41.549028	42.486650	6.136698
12942		41.556806	42.492668	6.133024
12943		41.568314	42.503943	6.131443
12944		41.580986	42.523556	6.128274
12945		41.603895	42.547873	6.123720
12946		41.623368	42.573609	6.111119
12947		41.637567	42.595699	6.099559
12948		41.640558	42.611209	6.082776
12949		41.628914	42.616747	6.064020
12950		41.612331	42.617034	6.045863
12951		41.599430	42.612083	6.030027
12952		41.597822	42.605844	6.012836
12953		41.607002	42.597986	5.997286
12954		41.629744	42.598452	5.983055
12955		41.666579	42.597201	5.971717
12956		41.707263	42.600360	5.963292
12957		41.743534	42.604576	5.958126
12958		41.762799	42.609320	5.945195
12959		41.773730	42.612197	5.930645
12960		41.777545	42.617594	5.912962
12961		41.779951	42.623530	5.899936
12962		41.787143	42.635840	5.893615
12963		41.799516	42.649428	5.894231
12964		41.820234	42.659805	5.897439
12965		41.842693	42.665382	5.898209
12966		41.859110	42.664808	5.896706
12967		41.870023	42.659177	5.894739
12968		41.875389	42.652317	5.888253
12969		41.878226	42.649006	5.885523
12970		41.880417	42.642927	5.878373
12971		41.888275	42.641781	5.872790
12972		41.903727	42.641919	5.871172
12973		41.928522	42.645789	5.872932
12974		41.956163	42.649294	5.876991
12975		41.979360	42.652050	5.880398
12976		41.993736	42.649696	5.880316
12977		42.003288	42.643352	5.875626
12978		42.014025	42.644209	5.870142
12979		42.028176	42.641792	5.871084
12980		42.044929	42.644514	5.875408
12981		42.058873	42.649658	5.880781
12982		42.074630	42.654914	5.888565
12983		42.086100	42.661998	5.893722
12984		42.091324	42.669610	5.894759
12985		42.095987	42.676134	5.895901
12986		42.097303	42.683188	5.892080
12987		42.109803	42.684031	5.888775
12988		42.130294	42.681089	5.883360
12989		42.159925	42.674855	5.879849
12990		42.198433	42.669018	5.880358
12991		42.243358	42.664065	5.886077
12992		42.290172	42.657327	5.888736
12993		42.334797	42.652837	5.895971
12994		42.375471	42.648230	5.905905
12995		42.407253	42.639949	5.916728
12996		42.431276	42.635487	5.926564
12997		42.451339	42.629656	5.935756
12998		42.460576	42.626611	5.940194
12999		42.464631	42.625251	5.947113
13000		42.464292	42.621920	5.950940
13001		42.458177	42.616162	5.954490
13002		42.453995	42.610432	5.959018
13003		42.447327	42.607226	5.959202
13004		42.443402	42.606427	5.962195
13005		42.441624	42.608546	5.969883
13006		42.444821	42.615841	5.983724
13007		42.454982	42.626135	6.001967
13008		42.471779	42.634412	6.014938
13009		42.494142	42.639560	6.029152
13010		42.513982	42.638201	6.031083
13011		42.530155	42.634514	6.034513
13012		42.540919	42.632786	6.038498
13013		42.551894	42.632596	6.045853
13014		42.561104	42.634562	6.056193
13015		42.568853	42.637565	6.067149
13016		42.574658	42.639961	6.081198
13017		42.581071	42.643279	6.095637
13018		42.591217	42.647444	6.108898
13019		42.601394	42.649390	6.117245
13020		42.617098	42.648355	6.126426
13021		42.633598	42.645159	6.134532
13022		42.654428	42.638108	6.140000
13023		42.674711	42.627238	6.144473
13024		42.693849	42.619796	6.146769
13025		42.710165	42.608527	6.145687
13026		42.727202	42.605393	6.147479
13027		42.744688	42.603263	6.150796
13028		42.759594	42.605017	6.156753
13029		42.767827	42.612644	6.165787
13030		42.768029	42.622862	6.173781
13031		42.764950	42.635068	6.179479
13032		42.763745	42.638335	6.186748
13033		42.762012	42.636621	6.187676
13034		42.759701	42.635975	6.191711
13035		42.762144	42.631581	6.196862
13036		42.766095	42.628582	6.201317
13037		42.771200	42.625460	6.202890
13038		42.777951	42.625238	6.204511
13039		42.786138	42.626466	6.206986
13040		42.794664	42.628350	6.213870
13041		42.804068	42.630505	6.219831
13042		42.811130	42.628111	6.227038
13043		42.811315	42.622608	6.230652
13044		42.807405	42.616231	6.231742
13045		42.804556	42.609860	6.231437
13046		42.795076	42.606612	6.233499
13047		42.782893	42.607429	6.239116
13048		42.767178	42.611044	6.243553
13049		42.752567	42.619206	6.249332
13050		42.739672	42.627334	6.254947
13051		42.732459	42.634007	6.255499
13052		42.733131	42.636874	6.255696
13053		42.742494	42.639940	6.258840
13054		42.758283	42.642481	6.264852
13055		42.772969	42.643702	6.266684
13056		42.787731	42.639545	6.268937
13057		42.801681	42.640090	6.271198
13058		42.812414	42.638510	6.276847
13059		42.813466	42.641636	6.280207
13060		42.812927	42.645323	6.287295
13061		42.805665	42.648517	6.290866
13062		42.800050	42.645712	6.288859
13063		42.791284	42.646566	6.287082
13064		42.785661	42.642797	6.287746
13065		42.779645	42.643104	6.288033
13066		42.778174	42.640107	6.289533
13067		42.771120	42.640235	6.291774
13068		42.761459	42.645160	6.293869
13069		42.747999	42.654158	6.294108
13070		42.738550	42.662441	6.292134
13071		42.730710	42.669101	6.289531
13072		42.730102	42.673976	6.286416
13073		42.730746	42.672123	6.281910
13074		42.736522	42.669954	6.281944
13075		42.737947	42.667863	6.279829
13076		42.732579	42.667112	6.275240
13077		42.725438	42.669058	6.271839
13078		42.714612	42.675902	6.271673
13079		42.706017	42.683793	6.272878
13080		42.698987	42.690259	6.272839
13081		42.695320	42.694234	6.274457
13082		42.691455	42.693974	6.273985
13083		42.689277	42.697387	6.271361
13084		42.688935	42.693584	6.265425
13085		42.688842	42.691059	6.261350
13086		42.690435	42.688510	6.256943
13087		42.690629	42.687398	6.254726
13088		42.693398	42.686885	6.252837
13089		42.695218	42.686869	6.249000
13090		42.697912	42.689204	6.247433
13091		42.699431	42.689681	6.245121
13092		42.700793	42.691410	6.240857
13093		42.705171	42.692005	6.237030
13094		42.708679	42.692258	6.234414
13095		42.712513	42.691026	6.233073
13096		42.711306	42.692125	6.228778
13097		42.714000	42.694438	6.227133
13098		42.720512	42.696717	6.227390
13099		42.727040	42.697754	6.228680
13100		42.730517	42.698117	6.227979
13101		42.734595	42.699204	6.225677
13102		42.737159	42.701663	6.222945
13103		42.745316	42.703794	6.222618
13104		42.751798	42.704092	6.219449
13105		42.754264	42.702177	6.215383
13106		42.757948	42.701217	6.214898
13107		42.757610	42.696372	6.211782
13108		42.752926	42.693878	6.209283
13109		42.745535	42.693502	6.206836
13110		42.736180	42.696319	6.205656
13111		42.732122	42.702606	6.203156
13112		42.730577	42.708890	6.204682
13113		42.728754	42.724475	6.204643
13114		42.731693	42.736599	6.207648
13115		42.731198	42.753768	6.207516
13116		42.729745	42.765172	6.208047
13117		42.724393	42.775243	6.205999
13118		42.722928	42.781236	6.206401
13119		42.723859	42.780794	6.203757
13120		42.726729	42.780279	6.202507
13121		42.731061	42.777397	6.201705
13122		42.734498	42.777912	6.200344
13123		42.741104	42.774227	6.197696
13124		42.747172	42.772356	6.196358
13125		42.755243	42.771917	6.196239
13126		42.761806	42.771032	6.194438
13127		42.766985	42.769478	6.189626
13128		42.773498	42.768021	6.191553
13129		42.779008	42.766972	6.191421
13130		42.785014	42.770637	6.189365
13131		42.793073	42.772101	6.192632
13132		42.799851	42.779988	6.195592
13133		42.807157	42.788969	6.200222
13134		42.815056	42.796109	6.204319
13135		42.819966	42.802328	6.204790
13136		42.823441	42.799042	6.205528
13137		42.821959	42.797744	6.202105
13138		42.822026	42.791032	6.204674
13139		42.814075	42.788838	6.204696
13140		42.808663	42.786602	6.208995
13141		42.806760	42.787042	6.214064
13142		42.810108	42.788873	6.219673
13143		42.817979	42.791487	6.220888
13144		42.826553	42.789553	6.221090
13145		42.836933	42.789301	6.225335
13146		42.840680	42.789184	6.222868
13147		42.844548	42.788942	6.227738
13148		42.846847	42.792988	6.234874
13149		42.847166	42.795435	6.238666
13150		42.845924	42.794901	6.241234
13151		42.843690	42.794838	6.241623
13152		42.843450	42.792576	6.238508
13153		42.843451	42.792617	6.234233
13154		42.846626	42.793609	6.234674
13155		42.851936	42.795612	6.235876
13156		42.854077	42.794282	6.233125
13157		42.854130	42.791513	6.228282
13158		42.852838	42.787148	6.223650
13159		42.852341	42.782555	6.221289
13160		42.851411	42.783062	6.215614
13161		42.851346	42.787818	6.215293
13162		42.849917	42.791633	6.210747
13163		42.847739	42.795041	6.208122
13164		42.844969	42.800611	6.205543
13165		42.844819	42.800898	6.202031
13166		42.846231	42.798755	6.200132
13167		42.848739	42.795931	6.198888
13168		42.857215	42.793909	6.198671
13169		42.864854	42.792298	6.197462
13170		42.877912	42.795333	6.201464
13171		42.886169	42.795632	6.206795
13172		42.886075	42.799534	6.208855
13173		42.878452	42.804129	6.211105
13174		42.867185	42.808983	6.212300
13175		42.856267	42.810399	6.211569
13176		42.838584	42.809220	6.210953
13177		42.816814	42.807292	6.209813
13178		42.792015	42.809293	6.209146
13179		42.768798	42.813293	6.212613
13180		42.749387	42.817858	6.213781
13181		42.737087	42.820486	6.213704
13182		42.734412	42.821794	6.209963
13183		42.740777	42.822072	6.205833
13184		42.755147	42.820336	6.203515
13185		42.774982	42.815478	6.201698
13186		42.789228	42.810002	6.200267
13187		42.799377	42.805531	6.202095
13188		42.802111	42.805966	6.206119
13189		42.796161	42.810739	6.209569
13190		42.787238	42.821299	6.215046
13191		42.768110	42.832615	6.218042
13192		42.744565	42.844448	6.217572
13193		42.717364	42.854334	6.213002
13194		42.687252	42.856943	6.205941
13195		42.662820	42.858093	6.202515
13196		42.644024	42.857702	6.200569
13197		42.634373	42.859117	6.206144
13198		42.631641	42.859144	6.212943
13199		42.637094	42.856532	6.219231
13200		42.647160	42.855954	6.218601
13201		42.661375	42.845265	6.218686
13202		42.669996	42.836606	6.211664
13203		42.673318	42.829744	6.206059
13204		42.672969	42.824683	6.201275
13205		42.667486	42.820529	6.201509
13206		42.656938	42.817229	6.205312
13207		42.641814	42.812551	6.212014
13208		42.622361	42.809690	6.216042
13209		42.607709	42.802364	6.217083
13210		42.600047	42.796442	6.218351
13211		42.598405	42.797290	6.219076
13212		42.609754	42.795567	6.228253
13213		42.620519	42.793021	6.236626
13214		42.629697	42.785734	6.248535
13215		42.630929	42.777039	6.262250
13216		42.622815	42.772863	6.274291
13217		42.605708	42.770384	6.284698
13218		42.585276	42.772267	6.297285
