// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B447FA
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
12625		102.702028	-72.779046	10.743567
12626		102.696738	-72.781101	10.751836
12627		102.693333	-72.786242	10.758993
12628		102.716625	-72.785996	10.744425
12629		102.719217	-72.783428	10.747520
12630		102.706277	-72.779181	10.754172
12631		102.697069	-72.773864	10.751358
12632		102.680943	-72.768106	10.764445
12633		102.702637	-72.763837	10.747076
12634		102.723227	-72.755097	10.734818
12635		102.722530	-72.752642	10.734387
12636		102.724694	-72.750384	10.726999
12637		102.723586	-72.752668	10.721663
12638		102.745291	-72.754041	10.701769
12639		102.757161	-72.757504	10.689753
12640		102.750271	-72.760932	10.686282
12641		102.743862	-72.764152	10.681160
12642		102.738806	-72.768040	10.671989
12643		102.742261	-72.771382	10.657353
12644		102.768605	-72.772066	10.637576
12645		102.800545	-72.772744	10.613373
12646		102.802539	-72.772813	10.607370
12647		102.802651	-72.771510	10.598665
12648		102.807492	-72.771100	10.583411
12649		102.822585	-72.771479	10.562042
12650		102.827119	-72.769329	10.550361
12651		102.845087	-72.765080	10.527783
12652		102.867123	-72.758623	10.498589
12653		102.884421	-72.750833	10.469245
12654		102.885860	-72.741687	10.456149
12655		102.875742	-72.737099	10.456786
12656		102.866301	-72.729700	10.454259
12657		102.841163	-72.725906	10.462450
12658		102.818428	-72.723050	10.474950
12659		102.814918	-72.723046	10.464700
12660		102.832347	-72.720685	10.448328
12661		102.841951	-72.718030	10.441947
12662		102.829503	-72.716681	10.442653
12663		102.799119	-72.717974	10.441167
12664		102.758842	-72.716090	10.444313
12665		102.701259	-72.712146	10.454895
12666		102.633414	-72.707963	10.457915
12667		102.527756	-72.703032	10.464050
12668		102.387173	-72.695118	10.471450
12669		102.196237	-72.688440	10.495128
12670		102.008935	-72.678317	10.500431
12671		101.778721	-72.672352	10.518976
12672		101.488805	-72.663233	10.551976
12673		101.172819	-72.653927	10.593220
12674		100.850295	-72.642545	10.628218
12675		100.494709	-72.632363	10.678959
12676		100.128609	-72.619560	10.741608
12677		99.775633	-72.605510	10.799512
12678		99.426220	-72.588948	10.856253
12679		99.072115	-72.571240	10.919557
12680		98.693812	-72.550442	11.004594
12681		98.308872	-72.529964	11.098908
12682		97.936194	-72.504140	11.185835
12683		97.556753	-72.474800	11.279588
12684		97.165887	-72.443611	11.380492
12685		96.778582	-72.410516	11.471156
12686		96.367375	-72.376507	11.572613
12687		95.940360	-72.340971	11.680036
12688		95.500328	-72.305884	11.794689
12689		95.059001	-72.274020	11.910227
12690		94.602429	-72.238645	12.030960
12691		94.160294	-72.202175	12.140232
12692		93.704455	-72.164855	12.256542
12693		93.243712	-72.127282	12.363320
12694		92.781194	-72.086429	12.464487
12695		92.260079	-72.042644	12.573706
12696		91.668355	-71.991398	12.685191
12697		91.003472	-71.938990	12.805040
12698		90.275522	-71.888430	12.919969
12699		89.482382	-71.837642	13.051651
12700		88.635772	-71.789328	13.192959
12701		87.770772	-71.745214	13.342348
12702		86.925409	-71.708255	13.509790
12703		86.116262	-71.679773	13.675754
12704		85.312014	-71.654124	13.861366
12705		84.573982	-71.630827	14.041145
12706		83.944086	-71.619223	14.189215
12707		83.364175	-71.609100	14.351184
12708		82.793942	-71.598062	14.531928
12709		82.253493	-71.590593	14.699487
12710		81.743265	-71.583091	14.865417
12711		81.271130	-71.579817	15.010646
12712		80.804325	-71.573120	15.160528
12713		80.348258	-71.564911	15.278815
12714		79.851924	-71.554837	15.401144
12715		79.337992	-71.538969	15.503857
12716		78.789320	-71.522441	15.603960
12717		78.221124	-71.504191	15.698156
12718		77.648906	-71.487310	15.795205
12719		77.085003	-71.471102	15.893006
12720		76.540798	-71.450498	15.975175
12721		75.996106	-71.426004	16.041250
12722		75.405681	-71.404348	16.088193
12723		74.738382	-71.373812	16.134659
12724		73.943391	-71.335395	16.198400
12725		73.029180	-71.294717	16.264990
12726		72.052243	-71.249161	16.355116
12727		71.101841	-71.205269	16.460392
12728		70.270850	-71.169661	16.564848
12729		69.631207	-71.141086	16.667373
12730		69.190736	-71.119087	16.766857
12731		68.909908	-71.108639	16.838419
12732		68.635643	-71.101514	16.914998
12733		68.396026	-71.099440	16.947215
12734		68.167510	-71.090752	16.967603
12735		67.862677	-71.072295	16.932700
12736		67.312771	-71.046107	16.910896
12737		66.434600	-70.993254	16.933347
12738		65.323887	-70.928337	17.007552
12739		64.179657	-70.864870	17.108453
12740		63.180765	-70.817612	17.229904
12741		62.628407	-70.796438	17.303843
12742		62.546639	-70.783999	17.333193
12743		62.449201	-70.768848	17.364147
12744		62.018378	-70.747943	17.389759
12745		61.410110	-70.712364	17.358717
12746		60.646143	-70.660008	17.324497
12747		59.685319	-70.591201	17.325747
12748		58.701777	-70.524353	17.373306
12749		57.963095	-70.468914	17.427673
12750		57.680247	-70.437578	17.432922
12751		57.602445	-70.412330	17.432538
12752		57.340992	-70.389825	17.466382
12753		56.987998	-70.364860	17.472113
12754		56.602719	-70.335153	17.429353
12755		56.114985	-70.299273	17.379419
12756		55.515113	-70.264533	17.328718
12757		54.909216	-70.223916	17.286674
12758		54.315252	-70.192026	17.245893
12759		53.781637	-70.164786	17.211607
12760		53.280647	-70.133801	17.182630
12761		52.709336	-70.111755	17.128319
12762		51.962031	-70.071797	17.104350
12763		51.073543	-70.022837	17.103063
12764		50.111190	-69.972935	17.089987
12765		49.150055	-69.928623	17.114142
12766		48.369026	-69.885984	17.173646
12767		47.856595	-69.852444	17.232202
12768		47.457593	-69.828990	17.285394
12769		47.100794	-69.806609	17.337909
12770		46.762470	-69.779408	17.381152
12771		46.450367	-69.759155	17.382671
12772		46.129478	-69.733236	17.364417
12773		45.762879	-69.696045	17.342639
12774		45.345548	-69.661769	17.314124
12775		44.896730	-69.621922	17.293625
12776		44.438311	-69.574763	17.282222
12777		43.992264	-69.529118	17.255936
12778		43.540085	-69.474823	17.234467
12779		43.095013	-69.419343	17.200074
12780		42.640979	-69.360317	17.165345
12781		42.182452	-69.297294	17.134805
12782		41.751156	-69.235000	17.100135
12783		41.368260	-69.169998	17.064470
12784		40.993855	-69.100825	17.026557
12785		40.666039	-69.035669	16.999892
12786		40.410813	-68.968898	16.967403
12787		40.187392	-68.898972	16.927574
12788		39.972204	-68.828498	16.896435
12789		39.781955	-68.751353	16.858826
12790		39.584080	-68.657981	16.814580
12791		39.368996	-68.557874	16.753763
12792		39.193775	-68.463088	16.684236
12793		39.079082	-68.365459	16.609061
12794		38.983138	-68.267614	16.525286
12795		38.895052	-68.175932	16.441731
12796		38.862584	-68.073359	16.351969
12797		38.887267	-67.985548	16.220707
12798		38.894053	-67.907154	16.084130
12799		38.864569	-67.834364	15.959219
12800		38.808180	-67.771337	15.837086
12801		38.791765	-67.723714	15.703801
12802		38.799052	-67.680148	15.581281
12803		38.820972	-67.644962	15.466262
12804		38.858117	-67.611186	15.357106
12805		38.850690	-67.589049	15.236697
12806		38.830450	-67.564989	15.118465
12807		38.827634	-67.534953	14.987723
12808		38.835225	-67.503898	14.854822
12809		38.872096	-67.468848	14.720476
12810		38.894779	-67.432995	14.581410
12811		38.920606	-67.395796	14.437297
12812		38.965725	-67.363038	14.285922
12813		39.022448	-67.333666	14.134849
