// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B447F8
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
52272		51.631160	46.792582	115.238830
52273		51.567081	46.805700	115.166120
52274		51.435081	46.785902	115.034516
52275		51.336424	46.760621	114.952534
52276		51.246182	46.716262	114.888414
52277		51.107508	46.643591	114.767055
52278		50.895061	46.535847	114.510344
52279		50.615826	46.426239	114.265489
52280		50.396246	46.348857	114.027900
52281		50.112123	46.185641	113.683491
52282		49.706581	45.887249	113.394454
52283		49.428580	45.646046	113.285999
52284		49.227908	45.537505	113.290708
52285		48.919644	45.397544	113.149216
52286		48.289274	45.140927	112.835526
52287		47.569791	44.854069	112.532360
52288		47.092800	44.600660	112.266123
52289		46.779930	44.325732	112.065560
52290		46.513966	44.034488	111.906865
52291		46.182182	43.711916	111.731652
52292		45.792376	43.350097	111.675958
52293		45.410259	43.008303	111.729363
52294		44.971560	42.665042	111.729278
52295		44.479196	42.347927	111.716570
52296		44.096590	42.093283	111.627780
52297		43.549233	41.923015	111.575159
52298		42.796214	41.728795	111.492184
52299		42.156133	41.431285	111.348910
52300		41.493574	41.031134	111.218654
52301		40.902311	40.523393	111.071560
52302		40.630879	39.982060	111.021269
52303		40.282992	39.554683	111.155149
52304		39.509508	39.151376	111.123759
52305		38.848155	38.513879	111.119435
52306		38.309015	37.808261	111.284118
52307		37.644302	37.251996	111.555461
52308		36.935074	36.840570	111.894256
52309		36.292755	36.380311	112.249722
52310		35.939068	35.767774	112.727031
52311		35.881766	35.134837	113.437894
52312		36.047452	34.514954	114.073391
52313		36.297999	33.840067	114.543388
52314		36.396877	33.179289	115.127979
52315		36.020978	32.664426	115.812591
52316		35.317443	32.320774	116.383310
52317		34.546819	32.009478	116.950546
52318		33.839950	31.617641	117.528001
52319		33.288183	31.195006	117.974435
52320		33.061510	30.849842	118.357086
52321		32.961609	30.561919	118.596647
52322		32.907580	30.242682	118.786574
52323		32.785039	29.899574	119.078333
52324		32.555455	29.581691	119.445505
52325		32.276455	29.327583	119.767117
52326		32.104621	29.119814	119.960306
52327		32.137635	28.958388	120.079839
52328		32.341451	28.845704	120.196038
52329		32.566902	28.802296	120.281764
52330		32.694520	28.803129	120.253804
52331		32.881326	28.843544	120.196223
52332		33.068572	28.900238	120.163419
52333		33.201115	28.895573	120.142920
52334		33.271982	28.900949	120.141608
52335		33.227314	28.895694	120.097095
52336		33.202661	28.843980	120.097591
52337		33.186762	28.798372	120.150869
52338		33.190186	28.806406	120.241452
52339		33.138224	28.792352	120.288919
52340		33.094296	28.751831	120.283207
52341		33.150500	28.708213	120.280058
52342		33.207981	28.644127	120.301480
52343		33.229265	28.587240	120.361994
52344		33.141251	28.590453	120.418588
52345		32.946964	28.631005	120.437894
52346		32.762985	28.591500	120.454642
52347		32.751424	28.559158	120.501447
52348		32.841221	28.512226	120.532651
52349		32.981849	28.452234	120.553769
52350		33.061721	28.404425	120.570607
52351		33.129583	28.362828	120.599812
52352		33.175741	28.342709	120.617300
52353		33.160446	28.296121	120.647347
52354		33.133382	28.237891	120.683272
