// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B44805
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
29254		-9.848815	-7.575636	14.231791
29255		-9.867552	-7.579389	14.251034
29256		-9.870508	-7.582930	14.268736
29257		-9.859471	-7.579577	14.281594
29258		-9.828235	-7.572840	14.291651
29259		-9.783894	-7.563328	14.296953
29260		-9.749871	-7.553165	14.296247
29261		-9.735509	-7.531855	14.283628
29262		-9.738940	-7.505605	14.267377
29263		-9.745380	-7.477741	14.245441
29264		-9.745523	-7.451484	14.221681
29265		-9.733409	-7.423268	14.198785
29266		-9.712862	-7.394115	14.176154
29267		-9.689690	-7.361527	14.155293
29268		-9.682696	-7.327735	14.139294
29269		-9.698154	-7.292014	14.124244
29270		-9.734298	-7.258119	14.110759
29271		-9.771516	-7.223509	14.098906
29272		-9.795260	-7.195287	14.087161
29273		-9.791300	-7.169713	14.077955
29274		-9.764661	-7.149672	14.073905
29275		-9.732523	-7.128836	14.071786
29276		-9.709613	-7.114385	14.070124
29277		-9.698335	-7.102131	14.067476
29278		-9.695034	-7.094403	14.067203
29279		-9.692442	-7.088825	14.066104
29280		-9.683760	-7.089502	14.064109
29281		-9.663653	-7.093510	14.065842
29282		-9.633128	-7.102901	14.068804
29283		-9.583760	-7.114105	14.068039
29284		-9.518787	-7.125891	14.067664
29285		-9.453073	-7.134688	14.065935
29286		-9.396277	-7.142600	14.059745
29287		-9.347642	-7.149780	14.051986
29288		-9.311273	-7.158710	14.039082
29289		-9.291668	-7.166907	14.023476
29290		-9.275745	-7.176875	14.003877
29291		-9.256382	-7.185096	13.977323
29292		-9.236635	-7.193069	13.946186
29293		-9.220103	-7.194502	13.910684
29294		-9.211374	-7.191364	13.869983
29295		-9.214138	-7.182132	13.821572
29296		-9.229876	-7.174841	13.769934
29297		-9.255739	-7.164470	13.711937
29298		-9.285380	-7.154525	13.647740
29299		-9.312126	-7.147704	13.580291
29300		-9.319325	-7.143367	13.510543
29301		-9.306004	-7.141299	13.440094
29302		-9.277597	-7.144895	13.367092
29303		-9.245136	-7.147242	13.290999
29304		-9.207583	-7.151869	13.211093
29305		-9.178296	-7.154317	13.124711
29306		-9.159647	-7.156819	13.033566
29307		-9.145997	-7.159347	12.941239
29308		-9.128529	-7.168501	12.845302
29309		-9.109755	-7.179857	12.748745
29310		-9.085729	-7.193977	12.652959
29311		-9.064076	-7.208812	12.555559
29312		-9.038420	-7.225861	12.453636
29313		-9.005288	-7.245849	12.346157
29314		-8.956038	-7.266391	12.232299
29315		-8.895933	-7.282873	12.112069
29316		-8.836767	-7.303694	11.978825
29317		-8.781488	-7.319807	11.835038
29318		-8.724247	-7.332539	11.675964
29319		-8.658575	-7.342641	11.509376
29320		-8.582893	-7.352321	11.333830
29321		-8.506585	-7.358399	11.151914
29322		-8.434803	-7.367614	10.966621
29323		-8.381767	-7.370907	10.775447
29324		-8.349757	-7.371867	10.572187
29325		-8.361476	-7.367461	10.360475
29326		-8.415040	-7.362739	10.140688
29327		-8.478858	-7.350499	9.910613
29328		-8.528640	-7.342556	9.672066
29329		-8.563006	-7.332148	9.429600
29330		-8.599652	-7.327169	9.183690
29331		-8.655347	-7.323996	8.929222
29332		-8.725232	-7.321410	8.667260
29333		-8.791957	-7.315884	8.398364
29334		-8.814837	-7.316105	8.128415
29335		-8.789136	-7.317768	7.859324
29336		-8.746794	-7.320652	7.587616
29337		-8.714088	-7.318473	7.307538
29338		-8.687088	-7.322151	7.018432
29339		-8.662980	-7.324912	6.720398
29340		-8.626401	-7.329793	6.413389
29341		-8.591974	-7.333664	6.096659
29342		-8.562737	-7.341016	5.770474
29343		-8.535547	-7.345401	5.438381
29344		-8.497621	-7.354470	5.096680
29345		-8.451330	-7.359675	4.749535
29346		-8.405896	-7.364410	4.393685
29347		-8.381799	-7.362347	4.031037
29348		-8.372269	-7.363189	3.656343
29349		-8.374831	-7.358679	3.272565
29350		-8.373029	-7.357906	2.876973
29351		-8.369281	-7.355807	2.471680
29352		-8.355995	-7.358690	2.053538
29353		-8.335272	-7.361472	1.622347
29354		-8.303099	-7.363711	1.175245
29355		-8.276582	-7.363605	0.713501
29356		-8.260923	-7.362573	0.232493
29357		-8.254705	-7.366781	-0.267573
29358		-8.223514	-7.378773	-0.781686
29359		-8.155100	-7.395455	-1.303107
29360		-8.048155	-7.418287	-1.830705
29361		-7.941785	-7.434285	-2.365377
29362		-7.844160	-7.448116	-2.911751
29363		-7.737936	-7.457116	-3.461789
29364		-7.591337	-7.465602	-4.019413
29365		-7.415759	-7.475189	-4.575372
29366		-7.226300	-7.484416	-5.136522
29367		-7.060900	-7.483358	-5.703584
29368		-6.920631	-7.477409	-6.276266
29369		-6.808786	-7.467244	-6.849982
29370		-6.717064	-7.452153	-7.428553
29371		-6.641403	-7.431359	-8.005227
