// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B44876
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
61122		89.657071	-51.745464	22.885914
61123		89.653854	-51.740359	22.896340
61124		89.643857	-51.732925	22.906062
61125		89.628154	-51.729014	22.911575
61126		89.607064	-51.722781	22.915405
61127		89.589907	-51.717673	22.908043
61128		89.588483	-51.713844	22.888554
61129		89.610420	-51.708618	22.857180
61130		89.666451	-51.700884	22.806119
61131		89.736235	-51.695568	22.746223
61132		89.811486	-51.687435	22.688323
61133		89.871884	-51.675632	22.641033
61134		89.902848	-51.664190	22.608950
61135		89.917176	-51.648626	22.585491
61136		89.926442	-51.632146	22.561752
61137		89.924563	-51.612739	22.537694
61138		89.926570	-51.592770	22.510495
61139		89.929601	-51.575726	22.484888
61140		89.936120	-51.560267	22.462468
61141		89.938833	-51.540053	22.456834
61142		89.943520	-51.520526	22.456580
61143		89.936938	-51.506578	22.467785
61144		89.949044	-51.501010	22.449792
61145		89.912411	-51.508851	22.466152
61146		89.838909	-51.496314	22.526522
61147		89.841944	-51.490710	22.523908
61148		89.870495	-51.505155	22.473903
61149		89.879409	-51.517040	22.462469
61150		89.877653	-51.517074	22.479367
61151		89.856326	-51.518921	22.509348
61152		89.816861	-51.522270	22.554786
61153		89.790786	-51.528697	22.589173
61154		89.778546	-51.532867	22.598160
61155		89.757571	-51.539558	22.605360
61156		89.726133	-51.544095	22.621253
61157		89.692523	-51.548149	22.646054
61158		89.662328	-51.550019	22.664725
61159		89.627948	-51.549027	22.692312
61160		89.609878	-51.540101	22.716897
61161		89.620865	-51.528675	22.713545
61162		89.651594	-51.522036	22.683976
61163		89.666667	-51.521822	22.667583
61164		89.643228	-51.517464	22.690069
61165		89.598796	-51.511718	22.734175
61166		89.566562	-51.510639	22.768718
61167		89.547633	-51.515749	22.784983
61168		89.535979	-51.521565	22.796853
61169		89.523763	-51.521170	22.815135
61170		89.510785	-51.514791	22.838976
61171		89.505227	-51.507188	22.862102
61172		89.498291	-51.498000	22.891677
61173		89.488550	-51.481337	22.921555
61174		89.459907	-51.458342	22.959236
61175		89.416316	-51.426950	22.999249
61176		89.360646	-51.391980	23.033438
61177		89.296815	-51.353824	23.064768
61178		89.232938	-51.307826	23.096536
61179		89.181491	-51.251628	23.116407
61180		89.138446	-51.197651	23.126541
61181		89.109773	-51.154535	23.119778
61182		89.101309	-51.114409	23.100721
61183		89.118625	-51.081835	23.063717
61184		89.165336	-51.058077	23.004711
61185		89.230703	-51.041123	22.934564
61186		89.308911	-51.026067	22.857319
61187		89.392325	-51.014429	22.776530
61188		89.473426	-51.000321	22.697900
61189		89.558284	-50.990295	22.614046
61190		89.649739	-50.980628	22.524807
61191		89.737273	-50.977025	22.440051
61192		89.815593	-50.975616	22.369883
61193		89.887295	-50.975580	22.316301
61194		89.944495	-50.980551	22.277470
61195		89.971301	-50.983639	22.268119
61196		89.995332	-50.985238	22.253953
61197		90.011574	-50.983314	22.240309
61198		90.045568	-50.977676	22.203479
61199		90.079572	-50.966782	22.159272
61200		90.093366	-50.955139	22.130584
61201		90.095827	-50.946181	22.115422
61202		90.100915	-50.943923	22.102010
61203		90.117849	-50.945312	22.088430
61204		90.147628	-50.954369	22.069939
61205		90.178453	-50.969251	22.044884
61206		90.219182	-50.988940	22.006120
61207		90.265666	-51.012981	21.949889
61208		90.314859	-51.038669	21.891178
61209		90.378268	-51.062000	21.822084
61210		90.461691	-51.077843	21.745126
61211		90.564754	-51.089425	21.657037
61212		90.687254	-51.097772	21.561241
61213		90.803743	-51.100716	21.474380
61214		90.895446	-51.098142	21.414471
61215		90.954082	-51.085195	21.379561
61216		90.987084	-51.068581	21.356949
61217		90.997656	-51.049407	21.342228
61218		90.981683	-51.027253	21.344093
61219		90.936214	-51.005374	21.367250
61220		90.864459	-50.983370	21.417263
61221		90.786982	-50.962462	21.481407
61222		90.718973	-50.950546	21.544190
61223		90.648621	-50.943559	21.616424
61224		90.564493	-50.941324	21.706605
61225		90.463341	-50.942974	21.814674
61226		90.350295	-50.947946	21.932204
61227		90.230100	-50.960567	22.053090
61228		90.106025	-50.976533	22.173335
61229		89.986289	-50.995210	22.287174
61230		89.857189	-51.014132	22.397996
61231		89.723154	-51.039215	22.508815
61232		89.590394	-51.069002	22.624374
61233		89.471180	-51.099242	22.740479
61234		89.376902	-51.126833	22.855001
61235		89.326160	-51.156845	22.963274
61236		89.320244	-51.182550	23.060082
61237		89.351485	-51.201888	23.146739
61238		89.401285	-51.214458	23.235642
61239		89.458286	-51.225667	23.324036
61240		89.536227	-51.235237	23.398081
61241		89.615028	-51.244924	23.464410
61242		89.682881	-51.252956	23.515720
61243		89.731933	-51.256669	23.550099
61244		89.751618	-51.252906	23.577954
61245		89.746602	-51.251038	23.610753
61246		89.706167	-51.242369	23.651699
61247		89.637373	-51.229482	23.702701
61248		89.552312	-51.219097	23.754302
61249		89.462153	-51.215202	23.800742
61250		89.378552	-51.218397	23.842072
61251		89.299793	-51.233861	23.860123
61252		89.137646	-51.242059	23.908554
61253		88.883354	-51.254057	23.930665
61254		88.434662	-51.291170	23.868260
61255		87.725225	-51.353604	23.747953
61256		86.784207	-51.436494	23.628217
61257		85.682789	-51.527680	23.553694
61258		84.541988	-51.609889	23.548104
61259		83.456223	-51.671578	23.619667
61260		82.450614	-51.702377	23.748964
61261		81.478896	-51.720564	23.892394
61262		80.389608	-51.749986	24.018974
61263		79.050896	-51.804456	24.097334
61264		77.423186	-51.882420	24.101977
61265		75.473748	-51.996015	24.061187
61266		73.238316	-52.121034	24.018024
61267		70.796514	-52.246900	24.018226
61268		68.289928	-52.337928	24.081920
61269		65.900814	-52.360866	24.261079
61270		63.685540	-52.326030	24.621201
61271		61.611567	-52.247296	25.124264
61272		59.498527	-52.180339	25.680584
61273		57.228819	-52.138076	26.166235
61274		54.674390	-52.139125	26.567058
61275		51.845649	-52.172315	26.820235
61276		48.940311	-52.169988	26.985202
61277		46.203712	-52.079633	27.134488
61278		43.809148	-51.864933	27.309241
61279		41.856827	-51.536899	27.517858
61280		40.295057	-51.103592	27.792137
61281		38.997187	-50.617767	28.119173
61282		37.810757	-50.120607	28.428711
61283		36.608504	-49.651509	28.699938
61284		35.353554	-49.213403	28.870833
61285		34.075940	-48.796556	28.943739
61286		32.852374	-48.367571	28.955478
61287		31.790380	-47.929835	28.960675
61288		30.938374	-47.484565	28.974729
61289		30.278517	-47.033594	29.004054
61290		29.718864	-46.589496	29.066627
61291		29.206602	-46.167143	29.163204
61292		28.731633	-45.766988	29.289750
61293		28.276058	-45.371660	29.431636
61294		27.846521	-44.973875	29.560477
61295		27.452039	-44.567785	29.663220
61296		27.064269	-44.168062	29.743571
61297		26.674929	-43.801506	29.808011
61298		26.314302	-43.476928	29.838921
