// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B44805
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
37461		87.474396	3.552854	16.752262
37462		87.449794	3.555925	16.748186
37463		87.431779	3.560990	16.746581
37464		87.413047	3.560449	16.745469
37465		87.400318	3.559664	16.741527
37466		87.392655	3.553898	16.735401
37467		87.383543	3.550444	16.732138
37468		87.376265	3.548584	16.729709
37469		87.364802	3.547230	16.726890
37470		87.360939	3.548367	16.724366
37471		87.358573	3.547739	16.720884
37472		87.358575	3.548026	16.717112
37473		87.362100	3.547361	16.712702
37474		87.363081	3.542816	16.704628
37475		87.364932	3.535839	16.694700
37476		87.369251	3.531431	16.688525
37477		87.369526	3.529953	16.683994
37478		87.371308	3.529294	16.676753
37479		87.372128	3.529974	16.669114
37480		87.376158	3.531583	16.663947
37481		87.377815	3.532998	16.657185
37482		87.371801	3.538127	16.652872
37483		87.371691	3.540690	16.652024
37484		87.360874	3.544011	16.650552
37485		87.339308	3.550464	16.651442
37486		87.316805	3.557029	16.651862
37487		87.284957	3.562751	16.653677
37488		87.252855	3.569002	16.653790
37489		87.223179	3.573781	16.657909
37490		87.182288	3.576389	16.657981
37491		87.142620	3.577254	16.660143
37492		87.105673	3.578331	16.660818
37493		87.072969	3.579758	16.665809
37494		87.043725	3.579405	16.666130
37495		87.013002	3.581746	16.665518
37496		86.991964	3.582911	16.668882
37497		86.972009	3.582438	16.668222
37498		86.952225	3.579960	16.666862
37499		86.938984	3.575349	16.667589
37500		86.924770	3.571872	16.667931
37501		86.911362	3.569509	16.671283
37502		86.891736	3.569203	16.669772
37503		86.878882	3.572619	16.674652
37504		86.861870	3.575104	16.676617
37505		86.849222	3.569730	16.682147
37506		86.831776	3.561473	16.675910
37507		86.806050	3.566997	16.665649
37508		86.813405	3.576495	16.681570
37509		86.803385	3.572808	16.681819
37510		86.787778	3.563174	16.676111
37511		86.788264	3.553456	16.685360
37512		86.769215	3.551595	16.676436
37513		86.765481	3.555765	16.685948
37514		86.763341	3.556469	16.684227
37515		86.765659	3.555822	16.688634
37516		86.754270	3.556755	16.688026
37517		86.739368	3.556256	16.683445
37518		86.727285	3.556033	16.686140
37519		86.715447	3.550639	16.685660
37520		86.690190	3.544699	16.686198
37521		86.663744	3.542420	16.682924
37522		86.634038	3.545711	16.682250
37523		86.592756	3.544568	16.678990
37524		86.538277	3.533578	16.672852
37525		86.485814	3.509763	16.663995
37526		86.380126	3.484321	16.655211
37527		86.250546	3.454839	16.642391
37528		86.090319	3.417404	16.631185
37529		85.902679	3.374051	16.622071
37530		85.697659	3.315593	16.611924
37531		85.472335	3.239915	16.602181
37532		85.217802	3.148964	16.589019
37533		84.967735	3.040453	16.578378
37534		84.745009	2.908897	16.574802
37535		84.549851	2.750081	16.581946
37536		84.372843	2.566833	16.602215
37537		84.226411	2.361057	16.643068
37538		84.099023	2.122508	16.685142
37539		83.972674	1.873241	16.748374
37540		83.834683	1.614975	16.800042
37541		83.701822	1.343145	16.805960
37542		83.582040	1.078534	16.819490
37543		83.439177	0.833246	16.826770
37544		83.291301	0.593504	16.788617
37545		83.183481	0.371419	16.759098
37546		83.115808	0.158546	16.728602
37547		83.085450	-0.057666	16.689074
37548		83.093177	-0.261392	16.682718
37549		83.142802	-0.493784	16.645599
37550		83.218688	-0.762069	16.582049
37551		83.334062	-1.033797	16.575586
37552		83.443391	-1.328233	16.571539
37553		83.550840	-1.646536	16.573484
37554		83.672395	-1.988967	16.598312
37555		83.790360	-2.358455	16.651650
37556		83.880067	-2.748933	16.737360
37557		83.927306	-3.166834	16.840422
37558		83.922940	-3.620500	16.945869
37559		83.868725	-4.105817	17.067999
37560		83.756254	-4.607494	17.216278
37561		83.582861	-5.130019	17.355779
37562		83.358262	-5.683987	17.466960
37563		83.097761	-6.271236	17.562397
37564		82.861191	-6.878563	17.660462
37565		82.644408	-7.495747	17.746875
37566		82.459431	-8.128074	17.816104
37567		82.309071	-8.778596	17.873955
37568		82.249381	-9.453210	17.917359
37569		82.305773	-10.155045	17.964548
37570		82.426405	-10.877668	18.020608
37571		82.620290	-11.617776	18.093454
37572		82.830697	-12.373269	18.186287
37573		83.055323	-13.151334	18.257726
37574		83.268986	-13.943522	18.341530
37575		83.459758	-14.745916	18.431666
37576		83.635537	-15.550915	18.521539
37577		83.804462	-16.352062	18.618920
37578		83.943850	-17.139805	18.718329
37579		84.067383	-17.914340	18.815254
37580		84.178709	-18.668787	18.943061
37581		84.246739	-19.404200	19.075299
37582		84.273473	-20.126605	19.211097
37583		84.251666	-20.836556	19.348889
37584		84.175115	-21.533455	19.489337
37585		84.043238	-22.218633	19.636909
37586		83.866736	-22.902268	19.781162
37587		83.639498	-23.587203	19.922607
37588		83.398044	-24.266869	20.083417
37589		83.132969	-24.949064	20.257335
37590		82.842256	-25.640546	20.440942
37591		82.524726	-26.336767	20.630231
37592		82.177462	-27.044412	20.821782
37593		81.778178	-27.765254	20.998943
37594		81.327186	-28.500112	21.171712
