// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B44730
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
47489		11.477949	-10.079772	-23.768881
47490		11.483608	-10.073025	-23.766176
47491		11.486400	-10.066158	-23.764636
47492		11.478675	-10.066980	-23.767869
47493		11.459429	-10.068899	-23.773836
47494		11.450130	-10.070241	-23.777511
47495		11.445535	-10.074438	-23.781586
47496		11.443533	-10.080759	-23.788640
47497		11.446548	-10.077507	-23.793996
47498		11.450068	-10.073249	-23.794421
47499		11.455978	-10.068906	-23.797366
47500		11.458247	-10.067204	-23.805138
47501		11.456674	-10.065972	-23.817407
47502		11.457171	-10.058912	-23.826991
47503		11.467513	-10.055950	-23.834541
47504		11.478870	-10.047808	-23.842963
47505		11.493907	-10.031808	-23.847539
47506		11.504967	-10.015233	-23.854073
47507		11.514100	-10.011312	-23.863717
47508		11.517211	-10.009254	-23.878275
47509		11.514365	-10.003933	-23.891351
47510		11.511729	-9.993810	-23.898588
47511		11.508159	-9.987896	-23.902979
47512		11.500183	-9.988142	-23.906849
47513		11.493080	-10.000326	-23.915389
47514		11.491329	-10.009668	-23.931416
47515		11.486212	-10.025427	-23.952025
47516		11.485841	-10.035094	-23.975792
47517		11.493522	-10.042953	-24.001402
47518		11.499789	-10.049484	-24.029078
47519		11.507915	-10.057326	-24.063930
47520		11.517909	-10.069068	-24.102575
47521		11.532988	-10.077539	-24.142151
47522		11.551047	-10.088844	-24.177926
47523		11.568735	-10.108060	-24.219304
47524		11.583140	-10.135895	-24.257927
47525		11.595021	-10.178387	-24.294336
47526		11.604394	-10.224270	-24.339562
47527		11.606321	-10.266798	-24.399858
47528		11.594698	-10.306498	-24.471646
