// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B447F8
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
43510		52.526393	52.694719	101.702119
43511		52.500474	52.670538	101.663877
43512		52.457862	52.643097	101.627128
43513		52.418563	52.619620	101.606220
43514		52.376635	52.610880	101.585358
43515		52.315135	52.598940	101.542288
43516		52.257912	52.583292	101.505675
43517		52.246261	52.562399	101.475538
43518		52.271762	52.545523	101.473769
43519		52.271181	52.527784	101.478593
43520		52.239632	52.489163	101.479488
43521		52.239914	52.448669	101.489498
43522		52.308055	52.412001	101.514955
43523		52.402198	52.377837	101.557545
43524		52.448180	52.324844	101.588109
43525		52.370560	52.259253	101.570415
43526		52.272128	52.224258	101.550029
43527		52.178192	52.203306	101.526808
43528		52.109185	52.199525	101.487428
43529		51.884583	52.118208	101.239108
43530		51.610054	52.007980	101.007918
43531		51.432524	51.933044	100.844834
43532		51.299958	51.853091	100.675416
43533		51.070071	51.724953	100.451570
43534		50.824195	51.559421	100.237972
43535		50.600605	51.385980	99.967254
43536		50.393672	51.275130	99.721843
43537		50.201220	51.209023	99.548791
43538		50.103807	51.170965	99.513492
43539		50.095131	51.186321	99.556056
43540		50.146302	51.217693	99.571109
43541		50.219057	51.225240	99.546492
43542		50.227357	51.201317	99.492072
43543		50.187345	51.144327	99.419987
43544		50.088623	51.072001	99.328439
43545		49.814694	50.984912	99.132480
43546		49.401997	50.853921	98.876640
43547		49.016551	50.758313	98.699164
43548		48.719852	50.682675	98.560930
43549		48.380535	50.508735	98.333926
43550		47.897953	50.176810	97.994339
43551		47.366466	49.787567	97.607632
43552		46.888825	49.423708	97.340114
43553		46.466027	49.051741	97.156575
43554		45.932147	48.670138	96.894399
43555		45.043176	48.242876	96.582330
43556		44.166929	47.904792	96.288614
43557		43.199619	47.614400	95.852144
43558		42.028009	47.208441	95.203602
43559		41.092152	46.757718	94.593887
43560		40.285083	46.245576	94.083707
43561		39.471053	45.648606	93.570354
43562		38.716112	45.065241	93.163749
43563		37.958756	44.482635	92.826998
43564		37.264910	43.790129	92.556061
43565		36.515543	42.938389	92.350857
43566		35.708633	42.113198	92.407925
43567		35.026440	41.481384	92.665641
43568		34.323663	40.962612	92.997635
43569		33.581205	40.363148	93.492508
43570		33.046444	39.751364	94.257344
43571		32.723007	39.142968	95.051983
43572		32.617977	38.640601	95.857649
43573		32.693639	38.068834	96.488311
43574		32.964349	37.409289	97.110986
43575		33.224570	36.774296	97.955916
43576		33.358619	36.170207	98.771534
43577		33.249352	35.551137	99.269808
43578		32.991306	35.047515	99.635353
43579		32.790807	34.732790	100.178749
43580		32.789713	34.361945	100.938883
43581		32.830740	33.805345	101.602632
43582		33.069154	33.325557	102.072412
43583		33.169231	33.161295	102.438666
43584		33.174616	33.119299	102.798112
43585		33.238556	32.918131	103.337005
43586		33.161648	32.552393	104.062917
43587		32.815685	32.018932	104.650739
43588		32.504442	31.578380	105.086881
43589		32.256764	31.355662	105.349977
43590		32.396824	31.271109	105.678292
43591		32.574684	31.132170	106.132890
43592		32.472555	30.960608	106.461524
