// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B447F7
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
17214		5.287519	-11.680955	176.886935
17215		5.288221	-11.681183	176.889202
17216		5.291054	-11.682828	176.875734
17217		5.296224	-11.684955	176.874059
17218		5.299523	-11.688730	176.873027
17219		5.302483	-11.690909	176.873717
17220		5.304430	-11.691228	176.865513
17221		5.303777	-11.691359	176.866617
17222		5.298917	-11.691305	176.868448
17223		5.298334	-11.691869	176.868381
17224		5.298714	-11.692855	176.874153
17225		5.301747	-11.692899	176.871320
17226		5.302741	-11.694015	176.862883
17227		5.302779	-11.692127	176.862412
17228		5.303106	-11.692912	176.860785
17229		5.299883	-11.696278	176.859575
17230		5.291696	-11.697764	176.864423
17231		5.293875	-11.695390	176.862765
17232		5.304095	-11.694904	176.859623
17233		5.305179	-11.698300	176.856429
17234		5.302663	-11.702228	176.851397
17235		5.306436	-11.702252	176.847780
17236		5.314698	-11.706033	176.845147
17237		5.315379	-11.702692	176.844670
17238		5.311899	-11.703425	176.841325
17239		5.304420	-11.706201	176.840543
17240		5.302941	-11.708762	176.832986
17241		5.308261	-11.714317	176.831325
17242		5.313767	-11.718282	176.830162
17243		5.309239	-11.723553	176.828579
17244		5.298869	-11.726905	176.836685
17245		5.292603	-11.726342	176.837053
17246		5.295321	-11.728864	176.824092
17247		5.293600	-11.735764	176.824055
17248		5.287551	-11.740427	176.825380
17249		5.288614	-11.745387	176.824143
17250		5.296046	-11.750259	176.820375
17251		5.299133	-11.752297	176.818330
17252		5.291925	-11.765689	176.815993
17253		5.287716	-11.776264	176.812476
17254		5.298531	-11.788390	176.795122
17255		5.320803	-11.792293	176.790183
17256		5.335948	-11.791277	176.783908
17257		5.332114	-11.797101	176.783098
17258		5.316971	-11.805652	176.782060
17259		5.318661	-11.805590	176.778059
17260		5.325138	-11.812451	176.767442
17261		5.328375	-11.829975	176.761526
17262		5.331961	-11.851651	176.757022
17263		5.349101	-11.884113	176.738900
17264		5.381685	-11.932609	176.720016
17265		5.416224	-11.990397	176.700550
17266		5.446477	-12.053063	176.682377
17267		5.476321	-12.119209	176.667553
17268		5.505641	-12.181168	176.658500
17269		5.521867	-12.235665	176.653134
17270		5.519312	-12.288226	176.656355
17271		5.519788	-12.335928	176.650770
17272		5.583243	-12.401236	176.640341
17273		5.646378	-12.482182	176.625906
17274		5.729120	-12.608652	176.600431
17275		5.829415	-12.750218	176.559694
17276		5.920076	-12.907067	176.515941
17277		6.020757	-13.082356	176.461236
17278		6.154240	-13.246143	176.403575
17279		6.329761	-13.408372	176.330793
17280		6.492204	-13.588231	176.275876
17281		6.778516	-13.737417	176.112887
17282		7.137600	-13.864924	175.922621
17283		7.228879	-14.011211	175.811646
17284		7.151766	-14.115061	175.745236
17285		7.203137	-14.209846	175.702938
17286		7.395174	-14.271641	175.673881
17287		7.569861	-14.332365	175.649168
17288		7.644903	-14.427417	175.634008
17289		7.503896	-14.505108	175.647724
17290		7.392569	-14.553697	175.649139
17291		7.455364	-14.622534	175.626556
17292		7.598033	-14.678397	175.602001
17293		7.706969	-14.744488	175.555627
17294		7.740901	-14.783940	175.537776
17295		7.753923	-14.824986	175.510551
17296		7.785745	-14.857459	175.493859
17297		7.842336	-14.894945	175.463652
17298		7.907120	-14.941733	175.438560
17299		7.956970	-15.007897	175.413489
17300		7.982278	-15.088670	175.402711
17301		7.968722	-15.173263	175.393561
17302		7.953609	-15.266111	175.402065
17303		7.954493	-15.384738	175.405670
17304		7.990894	-15.538501	175.423716
17305		8.075218	-15.688458	175.450301
17306		8.182341	-15.855624	175.515149
17307		8.282533	-16.032744	175.611858
17308		8.376221	-16.217432	175.769517
17309		8.489915	-16.385169	175.972039
17310		8.710177	-16.470735	176.205921
17311		8.904247	-16.564036	176.364984
17312		9.080089	-16.747590	176.486529
17313		9.323648	-17.009564	176.549528
17314		9.585762	-17.291670	176.613758
17315		9.776720	-17.496172	176.676263
17316		9.929301	-17.658959	176.752477
17317		10.125079	-17.835159	176.828414
17318		10.296027	-17.982613	176.912866
17319		10.400187	-18.080189	177.000037
17320		10.507538	-18.142011	177.076295
17321		10.641987	-18.180810	177.135081
17322		10.785646	-18.198506	177.165751
17323		10.926968	-18.198305	177.172603
17324		11.086708	-18.209986	177.152463
17325		11.256353	-18.237951	177.123617
17326		11.397410	-18.256682	177.095265
17327		11.482504	-18.230858	177.064233
17328		11.533862	-18.145930	177.040357
17329		11.552458	-17.980184	177.034194
17330		11.516546	-17.746989	177.048291
17331		11.422340	-17.462540	177.067747
17332		11.280512	-17.152809	177.097239
17333		11.118964	-16.892598	177.116597
17334		10.957593	-16.684143	177.120820
17335		10.863125	-16.527020	177.093254
17336		10.826022	-16.394427	177.039427
17337		10.817654	-16.280008	176.956749
17338		10.775554	-16.183972	176.851320
17339		10.660905	-16.113698	176.727404
17340		10.516361	-16.049959	176.586870
17341		10.393582	-15.949531	176.440950
17342		10.287471	-15.826777	176.283354
17343		10.182451	-15.672085	176.102686
17344		10.083984	-15.513029	175.907933
17345		9.964304	-15.345431	175.692279
17346		9.773865	-15.169693	175.485101
17347		9.583318	-15.014550	175.299453
17348		9.445884	-14.917561	175.136335
17349		9.368206	-14.863335	174.980448
17350		9.341171	-14.809327	174.836759
17351		9.323761	-14.740862	174.701038
17352		9.270185	-14.655590	174.583526
17353		9.193619	-14.567946	174.472373
17354		9.080934	-14.472053	174.355914
17355		8.954277	-14.384084	174.227320
17356		8.882991	-14.305597	174.113885
17357		8.850692	-14.214118	174.024524
17358		8.770871	-14.138147	173.953506
17359		8.650006	-14.060554	173.892350
17360		8.552062	-13.980518	173.837678
17361		8.533589	-13.902264	173.790891
17362		8.566265	-13.836143	173.751842
17363		8.561841	-13.782841	173.715964
17364		8.515168	-13.726874	173.671270
17365		8.453253	-13.668760	173.592841
17366		8.381685	-13.609381	173.444045
17367		8.309971	-13.547059	173.226317
17368		8.249225	-13.477049	172.974785
17369		8.217064	-13.386966	172.741184
17370		8.192710	-13.299336	172.543509
17371		8.123524	-13.227240	172.368821
17372		8.000393	-13.148373	172.210278
17373		7.836595	-13.067236	172.066618
17374		7.672481	-12.984581	171.926977
17375		7.549176	-12.895930	171.768660
17376		7.491528	-12.823197	171.616168
17377		7.492637	-12.747710	171.485555
17378		7.516501	-12.670234	171.399321
17379		7.520708	-12.590644	171.357102
17380		7.447338	-12.508537	171.330753
17381		7.310465	-12.408219	171.297688
17382		7.154526	-12.307443	171.256208
17383		7.013942	-12.215048	171.195463
17384		6.925813	-12.152602	171.101680
17385		6.903569	-12.099179	171.000612
17386		6.894401	-12.051804	170.909919
17387		6.851480	-12.006148	170.836402
17388		6.786606	-11.972619	170.777348
17389		6.738144	-11.931718	170.724894
17390		6.718414	-11.880209	170.686837
17391		6.684340	-11.842256	170.668237
17392		6.620448	-11.763444	170.686258
17393		6.523683	-11.663388	170.736767
17394		6.396950	-11.530880	170.806654
17395		6.243948	-11.334196	170.877451
17396		6.069130	-11.094139	170.948084
17397		5.886279	-10.816981	171.026352
17398		5.761216	-10.460320	171.073275
17399		5.727543	-10.042006	171.074289
17400		5.695356	-9.621452	171.049966
17401		5.596704	-9.228854	171.028562
17402		5.372029	-8.825931	171.041794
17403		5.142509	-8.391131	171.055590
17404		5.051595	-8.067414	171.038661
17405		5.066146	-7.839423	171.023998
17406		4.989723	-7.585748	171.037416
17407		4.766913	-7.233231	171.082465
17408		4.533433	-6.789647	171.141971
17409		4.401869	-6.305198	171.198142
17410		4.362093	-5.800199	171.243067
17411		4.341655	-5.300237	171.282934
17412		4.339547	-4.833826	171.349079
17413		4.378884	-4.477305	171.443159
17414		4.468026	-4.191107	171.521051
17415		4.521790	-3.854938	171.609687
17416		4.460208	-3.339658	171.740138
17417		4.360254	-2.630926	171.906689
17418		4.377890	-1.765473	172.089265
17419		4.585025	-0.885692	172.340061
17420		4.954852	-0.134301	172.587774
17421		5.378315	0.526123	172.866339
17422		5.776495	1.026842	173.193289
17423		6.099773	1.452962	173.485883
17424		6.292365	1.845169	173.766713
17425		6.326582	2.246998	174.061397
17426		6.276842	2.619029	174.332863
17427		6.200728	2.984579	174.575298
17428		6.098848	3.290498	174.826540
17429		5.908736	3.453938	175.093425
17430		5.610657	3.495448	175.327876
17431		5.248898	3.434096	175.496876
17432		4.920977	3.300360	175.575255
17433		4.656878	3.134542	175.564834
17434		4.425240	3.000167	175.473935
17435		4.202375	2.894242	175.316720
17436		3.996757	2.760961	175.124436
17437		3.679918	2.659125	174.897249
17438		3.306483	2.466790	174.671552
17439		2.798355	2.272548	174.550422
17440		2.340791	2.515352	174.441193
17441		2.202384	2.901840	174.235127
17442		2.516261	3.082010	174.002115
17443		2.926325	3.175490	173.761130
17444		3.130699	3.137686	173.536983
17445		3.035522	3.123766	173.338580
17446		2.707887	3.152026	173.119014
17447		2.469571	3.205746	172.873329
17448		2.442850	3.298790	172.565679
17449		2.654667	3.467388	172.181583
17450		3.025588	3.663043	171.765855
17451		3.340172	3.796176	171.366508
17452		3.517332	3.862243	171.031571
17453		3.607027	3.950767	170.726204
17454		3.634272	4.053132	170.420173
17455		3.660300	4.092742	170.110621
17456		3.801754	4.092491	169.773838
17457		4.018096	4.054357	169.441475
17458		4.190928	3.970762	169.138307
17459		4.328023	3.869979	168.870566
17460		4.507268	3.762869	168.630440
17461		4.772949	3.658089	168.430029
17462		5.115510	3.551984	168.280273
17463		5.495723	3.438494	168.210986
17464		5.880714	3.330867	168.181948
17465		6.251516	3.232229	168.160607
17466		6.548338	3.132467	168.126308
17467		6.741254	3.039494	168.092109
17468		6.823107	2.959237	168.068775
17469		6.842540	2.904946	168.053025
17470		6.880302	2.853938	168.039372
17471		6.963534	2.798713	168.038134
17472		7.040774	2.743265	168.041938
17473		7.056913	2.689206	168.057829
17474		7.022767	2.634596	168.080432
17475		6.985333	2.588396	168.109893
17476		6.985690	2.538408	168.145083
17477		7.034548	2.504834	168.166620
17478		7.095507	2.479302	168.177502
17479		7.123340	2.466781	168.193195
17480		7.134838	2.470461	168.205346
17481		7.135015	2.472691	168.217642
17482		7.127905	2.483698	168.233325
17483		7.117826	2.499185	168.258951
17484		7.108883	2.500961	168.292767
17485		7.106294	2.492708	168.339699
17486		7.098908	2.475150	168.392961
17487		7.131478	2.471194	168.392059
17488		7.144293	2.436330	168.398373
17489		7.088261	2.390616	168.422148
17490		7.009236	2.384729	168.447463
17491		6.955085	2.372890	168.478702
17492		6.927423	2.361035	168.518735
17493		6.924947	2.351526	168.568866
17494		6.940971	2.349367	168.633315
17495		6.940558	2.344445	168.718901
17496		6.917241	2.331149	168.815207
17497		6.872881	2.318287	168.923500
17498		6.824678	2.304528	169.031726
17499		6.810843	2.287462	169.141301
17500		6.829224	2.274177	169.242423
17501		6.864590	2.266921	169.342473
17502		6.882080	2.254256	169.435866
17503		6.889026	2.252819	169.532086
17504		6.915491	2.261226	169.626446
17505		6.951836	2.257898	169.737494
17506		6.964963	2.249193	169.851059
17507		6.936406	2.237868	169.962896
17508		6.889780	2.223213	170.063246
17509		6.855210	2.207895	170.154078
17510		6.842970	2.189964	170.223920
17511		6.871149	2.169872	170.292911
17512		6.924010	2.147624	170.350527
17513		6.964482	2.123321	170.402523
17514		6.999940	2.098168	170.438435
17515		7.047016	2.076596	170.480011
17516		7.103950	2.065398	170.522900
17517		7.152493	2.058176	170.584064
17518		7.167805	2.051066	170.649056
17519		7.142413	2.040175	170.724832
17520		7.115047	2.010516	170.791916
17521		7.119923	1.970199	170.834685
17522		7.182739	1.926603	170.846005
17523		7.245951	1.875489	170.851701
17524		7.253962	1.819928	170.848996
17525		7.237324	1.782313	170.858143
17526		7.256409	1.749846	170.878263
17527		7.309764	1.706124	170.917484
17528		7.340264	1.650660	170.965010
17529		7.337434	1.594665	171.019027
17530		7.351714	1.537922	171.065065
17531		7.369709	1.483007	171.111914
17532		7.385348	1.420689	171.150721
17533		7.417830	1.364725	171.186560
17534		7.477094	1.318076	171.220845
17535		7.541263	1.277322	171.250502
17536		7.610020	1.239131	171.282539
17537		7.673396	1.195807	171.332944
17538		7.728797	1.145850	171.378705
17539		7.768665	1.107472	171.426624
17540		7.779976	1.059360	171.489853
17541		7.800894	1.000326	171.572933
17542		7.845576	0.954522	171.651401
17543		7.867689	0.907946	171.745514
17544		7.863178	0.868137	171.841934
17545		7.884093	0.817420	171.971351
17546		7.958821	0.771541	172.101324
17547		8.074267	0.752300	172.239118
17548		8.158759	0.739905	172.371096
17549		8.167787	0.732834	172.496401
17550		8.134526	0.725002	172.607126
17551		8.077634	0.713837	172.741656
17552		8.001348	0.700426	172.896907
17553		7.965474	0.692239	173.073745
17554		8.027359	0.648894	173.273050
17555		8.116247	0.617214	173.496126
17556		8.178439	0.584513	173.731439
17557		8.225962	0.540863	173.972772
17558		8.272211	0.486091	174.200030
17559		8.316518	0.410561	174.412216
17560		8.328255	0.334084	174.567644
17561		8.358971	0.250679	174.662695
17562		8.429035	0.141616	174.710358
17563		8.532142	0.032889	174.738061
17564		8.652847	-0.082401	174.748488
17565		8.782234	-0.193874	174.772672
17566		8.932972	-0.302448	174.789619
17567		9.071959	-0.379678	174.808216
17568		9.202109	-0.400639	174.829916
17569		9.318912	-0.385849	174.876440
17570		9.357258	-0.361115	174.932998
17571		9.374816	-0.336346	174.959916
17572		9.380549	-0.323396	174.931727
17573		9.388030	-0.308364	174.842694
17574		9.481825	-0.278573	174.684014
17575		9.580821	-0.189952	174.483961
17576		9.533559	-0.040424	174.267530
17577		9.307480	0.093190	174.063418
17578		9.017615	0.122198	173.862962
17579		8.832954	0.041869	173.667247
17580		8.791675	-0.061023	173.459795
17581		8.801584	-0.080461	173.230272
17582		8.841169	-0.076338	173.008337
17583		8.874612	-0.072151	172.827610
17584		8.872593	-0.070958	172.674779
17585		8.866133	-0.083819	172.562607
17586		8.885078	-0.122488	172.480111
17587		8.899311	-0.171908	172.429909
17588		8.893681	-0.232056	172.403244
17589		8.875619	-0.294296	172.389501
17590		8.850676	-0.361330	172.380729
17591		8.821165	-0.414599	172.377144
17592		8.855608	-0.455127	172.367231
17593		8.983212	-0.479981	172.354080
17594		9.134409	-0.486822	172.348617
17595		9.247781	-0.477783	172.354211
17596		9.314596	-0.461081	172.353857
17597		9.340553	-0.430941	172.351087
17598		9.333207	-0.383583	172.349747
17599		9.288550	-0.320811	172.353668
17600		9.209327	-0.243721	172.356020
17601		9.107454	-0.143889	172.357162
17602		8.973965	-0.027803	172.357044
17603		8.811240	0.119919	172.352893
17604		8.626376	0.296242	172.329092
17605		8.361498	0.488975	172.315728
17606		8.006866	0.685335	172.309453
17607		7.553963	0.880092	172.288532
17608		7.065104	1.067342	172.290883
17609		6.696768	1.287535	172.301956
17610		6.373257	1.442750	172.294449
17611		6.029923	1.512101	172.290737
17612		5.627523	1.554475	172.298987
17613		5.156575	1.603636	172.355219
17614		4.770428	1.628050	172.397692
17615		4.579520	1.644758	172.393917
17616		4.449672	1.734667	172.365855
17617		4.443404	1.848237	172.330474
17618		4.555195	1.893037	172.313990
17619		4.649510	1.950252	172.321650
17620		4.664726	2.072027	172.333465
17621		4.782242	2.238515	172.327571
17622		5.032520	2.400811	172.329744
17623		5.294391	2.511733	172.380377
17624		5.441802	2.518336	172.502160
17625		5.522884	2.368237	172.661035
17626		5.600233	2.005265	172.800287
17627		5.676200	1.512967	172.914737
17628		5.684003	0.827967	172.993115
17629		5.548142	0.023032	173.048934
17630		5.272267	-0.840761	173.093966
17631		4.955183	-1.675804	173.115431
17632		4.702592	-2.451799	173.106805
17633		4.612459	-3.159439	173.093071
17634		4.755468	-3.846060	173.124639
17635		5.099782	-4.572597	173.240856
17636		5.494147	-5.314526	173.420800
17637		5.757181	-6.049847	173.648456
17638		5.865173	-6.737487	173.872981
17639		5.960029	-7.347738	174.056043
17640		6.162673	-7.905191	174.169666
17641		6.469988	-8.500967	174.211579
17642		6.724409	-9.094622	174.194071
17643		6.836917	-9.609822	174.143620
17644		6.862421	-10.091664	174.087302
17645		6.890116	-10.551081	174.044930
17646		6.931730	-10.970785	174.021750
17647		7.003652	-11.347454	174.005062
17648		7.076143	-11.708663	174.000343
17649		7.099888	-12.033105	174.015711
17650		7.071394	-12.320048	174.046297
17651		7.077008	-12.596589	174.073253
17652		7.174846	-12.943774	174.149728
17653		7.049449	-12.987458	174.215120
17654		7.027849	-12.914001	174.239963
17655		7.111614	-13.019769	174.257301
17656		7.099028	-12.978487	174.248816
17657		6.983142	-12.918214	174.257190
17658		6.895173	-12.892876	174.264959
17659		6.862091	-12.838626	174.257749
17660		6.858033	-12.803382	174.247028
17661		6.858999	-12.776529	174.238621
17662		6.855760	-12.746295	174.223101
17663		6.854238	-12.719684	174.211115
17664		6.858237	-12.690317	174.202307
17665		6.883067	-12.641769	174.194284
17666		6.908004	-12.599188	174.186268
17667		6.888605	-12.580069	174.190225
17668		6.826967	-12.563039	174.197574
17669		6.783668	-12.555313	174.209096
17670		6.771365	-12.560888	174.214205
17671		6.741463	-12.556509	174.221286
17672		6.711825	-12.550709	174.228867
17673		6.716350	-12.547367	174.231865
