// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B44804
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
17214		-24.240292	13.839968	-132.540143
17215		-24.242227	13.837294	-132.535194
17216		-24.238175	13.832600	-132.544571
17217		-24.230019	13.831587	-132.541044
17218		-24.230366	13.830697	-132.542318
17219		-24.230112	13.830579	-132.539298
17220		-24.231491	13.833462	-132.544159
17221		-24.233309	13.834712	-132.542704
17222		-24.236626	13.840016	-132.544064
17223		-24.235864	13.838925	-132.544868
17224		-24.232209	13.838838	-132.544443
17225		-24.229179	13.836734	-132.547685
17226		-24.228671	13.835777	-132.563726
17227		-24.230462	13.837494	-132.569056
17228		-24.233825	13.838860	-132.573099
17229		-24.232315	13.839041	-132.577043
17230		-24.233147	13.838059	-132.592369
17231		-24.229204	13.837117	-132.595973
17232		-24.224710	13.836724	-132.599747
17233		-24.217631	13.834360	-132.604751
17234		-24.210918	13.829495	-132.613137
17235		-24.200511	13.826069	-132.623541
17236		-24.190442	13.824224	-132.632852
17237		-24.186749	13.819951	-132.642537
17238		-24.186100	13.817850	-132.651152
17239		-24.179439	13.812590	-132.658933
17240		-24.171576	13.811680	-132.669154
17241		-24.164721	13.807098	-132.674855
17242		-24.161077	13.806958	-132.675667
17243		-24.157989	13.806138	-132.686406
17244		-24.149301	13.806671	-132.695941
17245		-24.146762	13.804941	-132.707547
17246		-24.146638	13.805094	-132.730892
17247		-24.135791	13.804623	-132.738545
17248		-24.126833	13.801717	-132.737590
17249		-24.112783	13.802197	-132.748742
17250		-24.092843	13.800872	-132.765107
17251		-24.085910	13.798675	-132.772914
17252		-24.081746	13.793139	-132.786036
17253		-24.067178	13.786276	-132.792662
17254		-24.049217	13.774168	-132.785762
17255		-24.042736	13.761108	-132.786590
17256		-24.044925	13.751098	-132.788670
