// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B44856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
22119		-39.018904	67.309642	-65.444062
22120		-39.081582	67.299608	-65.499312
22121		-39.123119	67.288721	-65.541455
22122		-39.161824	67.277203	-65.574435
22123		-39.213136	67.266602	-65.610132
22124		-39.261784	67.253779	-65.639496
22125		-39.280516	67.232725	-65.650394
22126		-39.268257	67.204750	-65.642852
22127		-39.227092	67.171404	-65.615639
22128		-39.165319	67.137707	-65.579873
22129		-39.106731	67.112375	-65.548667
22130		-39.055359	67.093212	-65.519331
22131		-38.998236	67.074465	-65.484485
22132		-38.949549	67.054305	-65.451346
22133		-38.913612	67.031848	-65.420422
22134		-38.889535	67.008810	-65.392965
22135		-38.876621	66.991803	-65.373549
22136		-38.863655	66.984046	-65.359486
22137		-38.852329	66.983019	-65.351109
22138		-38.833177	66.987816	-65.344432
22139		-38.820593	66.996485	-65.354353
22140		-38.810660	67.007734	-65.370764
22141		-38.802250	67.014204	-65.386602
22142		-38.792867	67.016201	-65.396782
22143		-38.790861	67.013429	-65.405854
22144		-38.779654	67.002810	-65.404594
22145		-38.738792	66.987493	-65.378232
22146		-38.679928	66.969940	-65.342285
22147		-38.619300	66.954628	-65.304524
22148		-38.565756	66.941316	-65.276918
22149		-38.496901	66.922087	-65.238103
22150		-38.413345	66.898862	-65.186887
22151		-38.336289	66.870306	-65.136707
22152		-38.259005	66.839359	-65.075645
22153		-38.173035	66.802553	-64.999462
22154		-38.078287	66.762922	-64.918806
22155		-37.991977	66.715189	-64.845914
22156		-37.843939	66.657050	-64.738274
22157		-37.664300	66.588217	-64.632454
22158		-37.477529	66.516657	-64.525545
22159		-37.259849	66.434165	-64.394805
22160		-37.053219	66.358137	-64.273545
22161		-36.916743	66.302171	-64.194075
22162		-36.816251	66.260274	-64.128448
22163		-36.734254	66.219318	-64.067023
22164		-36.643506	66.169334	-63.986378
22165		-36.524576	66.105377	-63.879919
22166		-36.392203	66.030927	-63.760485
22167		-36.224401	65.943383	-63.612908
22168		-36.060645	65.857639	-63.467117
22169		-35.928002	65.786166	-63.332959
22170		-35.800907	65.725249	-63.193227
22171		-35.663119	65.681091	-63.057892
22172		-35.514591	65.639045	-62.907782
22173		-35.286880	65.580798	-62.679322
22174		-34.982706	65.517998	-62.357189
22175		-34.571325	65.486966	-61.975617
22176		-34.072803	65.478822	-61.540581
22177		-33.492416	65.452697	-61.031916
22178		-32.842679	65.416476	-60.474017
22179		-32.191884	65.381386	-59.916982
22180		-31.572981	65.344856	-59.374411
22181		-30.946837	65.312012	-58.822758
22182		-30.326077	65.282908	-58.261121
22183		-29.712374	65.256236	-57.700329
22184		-29.117247	65.229935	-57.140456
22185		-28.544956	65.194620	-56.572007
22186		-27.956488	65.143876	-55.977276
22187		-27.365100	65.077089	-55.365798
22188		-26.807210	64.999535	-54.765271
22189		-26.271204	64.904664	-54.165838
22190		-25.736701	64.799702	-53.553186
22191		-25.204005	64.690475	-52.938812
22192		-24.709643	64.576784	-52.335460
22193		-24.273388	64.455023	-51.753075
22194		-23.881575	64.326139	-51.181408
22195		-23.513650	64.187710	-50.614469
22196		-23.150111	64.038433	-50.040102
22197		-22.757685	63.875005	-49.429502
22198		-22.334446	63.695189	-48.784929
22199		-21.870671	63.496000	-48.104754
22200		-21.370208	63.267483	-47.393187
22201		-20.860559	63.016727	-46.674882
22202		-20.321604	62.737336	-45.932629
22203		-19.750142	62.426073	-45.168656
22204		-19.171768	62.092093	-44.388846
22205		-18.591023	61.750257	-43.599451
22206		-17.979720	61.400881	-42.774759
22207		-17.334207	61.042613	-41.921984
22208		-16.642050	60.672693	-41.034315
22209		-15.925506	60.295821	-40.139863
22210		-15.222924	59.907677	-39.260129
22211		-14.570726	59.504703	-38.407114
22212		-13.972193	59.090727	-37.556601
22213		-13.398634	58.674376	-36.686806
22214		-12.804916	58.251909	-35.786530
22215		-12.172825	57.815165	-34.858694
22216		-11.519377	57.366484	-33.914192
22217		-10.878474	56.919857	-32.967511
22218		-10.273967	56.470974	-32.013567
22219		-9.689385	56.014718	-31.046342
22220		-9.108491	55.553130	-30.084110
22221		-8.510827	55.091775	-29.121398
22222		-7.905802	54.628144	-28.164985
