// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B447FA
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
44706		111.825864	-61.003888	17.465043
44707		110.894511	-60.923224	17.664674
44708		109.676412	-60.830861	17.914065
44709		108.242574	-60.729371	18.174794
44710		106.644678	-60.627736	18.437883
44711		104.926006	-60.512299	18.708826
44712		103.038218	-60.381236	19.016857
44713		100.901938	-60.210020	19.393772
44714		98.202199	-59.952598	20.048690
44715		94.983801	-59.584898	20.719744
44716		91.337702	-59.130525	21.279335
44717		87.304272	-58.631842	21.788277
44718		83.012220	-58.145671	22.292235
44719		78.758737	-57.732551	22.781833
44720		74.759087	-57.452318	23.260831
44721		71.224803	-57.347106	23.813569
44722		69.272378	-57.332219	24.298662
44723		70.214402	-57.382740	24.384425
44724		73.203539	-57.493408	24.044354
44725		77.250051	-57.563756	23.473973
44726		81.444953	-57.568427	23.008593
44727		84.287601	-57.609212	22.749173
44728		86.056582	-57.688949	22.559806
44729		87.606343	-57.724596	22.365637
44730		88.666014	-57.750237	22.180626
44731		89.481541	-57.776487	21.964598
44732		90.241281	-57.793490	21.726996
44733		90.949162	-57.803860	21.494499
44734		91.548560	-57.793494	21.294183
44735		92.017465	-57.753200	21.129556
44736		92.320749	-57.693467	21.023592
44737		92.482629	-57.625599	20.950574
44738		92.555271	-57.562067	20.905931
44739		92.628860	-57.517056	20.854623
44740		92.753390	-57.492936	20.791081
44741		92.947218	-57.485815	20.702390
44742		93.201463	-57.499029	20.587335
44743		93.511729	-57.532692	20.441610
44744		93.837807	-57.576528	20.298080
44745		94.185624	-57.625727	20.152824
44746		94.542531	-57.675415	20.020441
44747		94.873421	-57.724966	19.903533
44748		95.139087	-57.775388	19.813905
44749		95.322346	-57.826989	19.750341
44750		95.404345	-57.879438	19.722194
44751		95.412949	-57.930640	19.708351
44752		95.357926	-57.982371	19.711716
44753		95.293238	-58.034891	19.719411
44754		95.253253	-58.092786	19.734745
44755		95.234608	-58.146637	19.749521
44756		95.251788	-58.204612	19.758739
44757		95.311235	-58.262531	19.763489
44758		95.392855	-58.322444	19.777781
44759		95.478960	-58.377651	19.793432
44760		95.550585	-58.430466	19.806351
44761		95.581792	-58.478218	19.829568
44762		95.585842	-58.521596	19.858874
44763		95.555054	-58.560012	19.893839
44764		95.507383	-58.593939	19.931745
44765		95.461311	-58.624441	19.959619
44766		95.418895	-58.652711	19.981863
44767		95.394511	-58.678589	19.993727
44768		95.373678	-58.702947	20.002336
44769		95.365506	-58.722927	19.990410
44770		95.344850	-58.736853	19.980272
44771		95.323206	-58.748526	19.970402
44772		95.287575	-58.756682	19.966416
44773		95.243736	-58.759462	19.956033
44774		95.174362	-58.759121	19.955186
44775		95.074474	-58.753972	19.960430
44776		94.921239	-58.743013	19.988332
44777		94.750581	-58.727376	20.008209
44778		94.539953	-58.707682	20.042902
44779		94.315920	-58.684741	20.082237
