// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B44730
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
44706		14.316216	27.411304	-72.234801
44707		14.328702	27.407260	-72.257363
44708		14.330156	27.402847	-72.283918
44709		14.325379	27.403075	-72.311950
44710		14.322622	27.402843	-72.338167
44711		14.317781	27.402610	-72.362488
44712		14.306342	27.404657	-72.376022
44713		14.292670	27.411133	-72.385201
44714		14.277373	27.422916	-72.390392
44715		14.268043	27.441530	-72.394332
44716		14.256112	27.457349	-72.400229
44717		14.266335	27.472360	-72.410560
44718		14.289618	27.482704	-72.421357
44719		14.328106	27.480050	-72.423234
44720		14.417107	27.470362	-72.407636
44721		14.523168	27.452116	-72.382733
44722		14.583783	27.413347	-72.375788
44723		14.572319	27.370432	-72.393625
44724		14.500746	27.351433	-72.402757
44725		14.402336	27.356240	-72.384940
44726		14.313760	27.368224	-72.347730
44727		14.264816	27.380336	-72.296360
44728		14.258456	27.385245	-72.244592
44729		14.273643	27.382063	-72.199500
44730		14.307623	27.377845	-72.170303
44731		14.348245	27.384183	-72.147192
44732		14.370324	27.393317	-72.127450
44733		14.376721	27.401330	-72.107903
44734		14.359285	27.401308	-72.094716
44735		14.332852	27.394317	-72.081864
44736		14.310443	27.385446	-72.069463
44737		14.295643	27.382532	-72.072265
44738		14.289103	27.386959	-72.081561
44739		14.292169	27.391996	-72.100349
44740		14.302761	27.392131	-72.126723
44741		14.316007	27.388332	-72.153747
44742		14.320592	27.383388	-72.173627
44743		14.316750	27.380871	-72.184736
44744		14.305581	27.379014	-72.190048
44745		14.287021	27.376040	-72.189220
44746		14.269088	27.371356	-72.191945
44747		14.254043	27.369155	-72.195860
44748		14.246321	27.364191	-72.198681
44749		14.251593	27.359944	-72.204040
44750		14.265853	27.357398	-72.208835
44751		14.277147	27.362275	-72.213413
44752		14.294676	27.366738	-72.207517
44753		14.308716	27.368548	-72.201410
44754		14.316341	27.361911	-72.201025
44755		14.313356	27.360060	-72.198071
44756		14.314842	27.362094	-72.195349
44757		14.324718	27.365778	-72.191526
44758		14.336447	27.363807	-72.189516
44759		14.347920	27.363735	-72.190845
44760		14.362841	27.370025	-72.192904
44761		14.381607	27.375875	-72.191620
44762		14.402421	27.378024	-72.194881
44763		14.415714	27.377220	-72.198697
44764		14.421848	27.374547	-72.200703
44765		14.426790	27.374329	-72.201908
44766		14.432543	27.371152	-72.202875
44767		14.438085	27.367227	-72.202104
44768		14.437128	27.365760	-72.197173
44769		14.435153	27.365198	-72.191948
44770		14.440079	27.359600	-72.188241
44771		14.453118	27.352600	-72.187554
44772		14.466417	27.343373	-72.189990
44773		14.472859	27.339227	-72.188278
44774		14.472709	27.335667	-72.189492
44775		14.473189	27.333845	-72.191949
44776		14.474393	27.328405	-72.194662
44777		14.470657	27.327711	-72.200068
44778		14.470948	27.328856	-72.205511
44779		14.476141	27.331372	-72.208413
44780		14.480178	27.325687	-72.210797
44781		14.477038	27.321284	-72.214233
44782		14.469244	27.319353	-72.217275
44783		14.460633	27.320599	-72.216068
44784		14.451826	27.321382	-72.214213
44785		14.450589	27.321796	-72.212854
44786		14.456255	27.321682	-72.212997
44787		14.467232	27.323360	-72.212159
44788		14.475708	27.323032	-72.212163
44789		14.482388	27.325368	-72.210576
44790		14.488140	27.326009	-72.208432
44791		14.491075	27.328005	-72.207591
44792		14.494481	27.331134	-72.201888
44793		14.497887	27.331663	-72.198843
44794		14.502360	27.332039	-72.196115
44795		14.508250	27.336102	-72.194135
44796		14.511761	27.335947	-72.193389
44797		14.524805	27.336161	-72.193925
44798		14.537248	27.335422	-72.193475
44799		14.542117	27.330982	-72.192556
44800		14.546658	27.324601	-72.193320
44801		14.550768	27.321611	-72.196374
44802		14.556705	27.317036	-72.195723
44803		14.564605	27.318884	-72.195788
44804		14.573071	27.325103	-72.194899
44805		14.579449	27.331163	-72.193508
44806		14.585345	27.333030	-72.195136
44807		14.584909	27.335182	-72.196974
